tool_id,canonical_yaml_file,affected_field,current_canonical_value,report_classification,http_status_or_network,network_observation,candidate_replacement_url,candidate_is_human_facing,candidate_independently_supported,official_evidence_available,evidence_still_required,risk_level,proposed_batch,expected_final_decision_types,regression_test_required
fortify-static-code-analyzer,data/tools/application-cloud-security.yaml,official_url,https://www.opentext.com/products/static-application-security-testing,http-error,needs-review,HTTP 444: Unknown,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
gremlin,data/tools/chaos-performance-engineering.yaml,repository_url,https://github.com/gremlin-io/gremlin,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
hoji-ai,data/tools/mlops-llmops-ai-infrastructure.yaml,official_url,https://hoji.ai,dns-inconclusive,needs-review,gaierror: [Errno -3] Temporary failure in name resolution,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
hoji-ai,data/tools/mlops-llmops-ai-infrastructure.yaml,repository_url,https://github.com/hoji-ai/hoji,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
jumpserver,data/tools/iam-secrets-certificates.yaml,official_url,https://www.jumpserver.com,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
k8s-cleaner-sveltos,data/tools/kubernetes-distributions-operations.yaml,official_url,https://sveltos.projectsveltos.io/k8sCleaner.html,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
kata-containers,data/tools/virtualization-bare-metal-homelab.yaml,documentation_url,https://katacontainers.io/docs/,manual-verification-required,active,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
kdash,data/tools/kubernetes-distributions-operations.yaml,official_url,https://kdash.cli.rs,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
komodor,data/tools/monitoring-metrics-logs-tracing.yaml,repository_url,https://github.com/komodorio/komodor,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
kubeflame,data/tools/kubernetes-distributions-operations.yaml,official_url,https://kubeflame.github.io,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
mantis,data/tools/ci-build-testing.yaml,official_url,https://mantis.getaugur.ai/docs/introduction/overview,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a2-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
microsoft-azure,data/tools/cloud-platforms-management.yaml,official_url,https://azure.microsoft.com,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a2-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
odysseus,data/tools/developer-experience-local-environments.yaml,official_url,https://pewdiepie-archdaemon.github.io/odysseus,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a2-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
soos-dast,data/tools/application-cloud-security.yaml,official_url,https://hub.docker.com/r/soosio/dast,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a2-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
terraform-cloud,data/tools/infrastructure-as-code.yaml,official_url,https://developer.hashicorp.com/terraform/enterprise/cloud-docs,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a2-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
trivy,data/tools/kubernetes-networking-storage-addons.yaml,documentation_url,https://trivy.dev/latest/,manual-verification-required,active,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a2-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
yokecd,data/tools/cd-gitops-release-promotion.yaml,repository_url,https://github.com/yokecd/yokecd,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a2-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
yotascale,data/tools/finops-sustainability.yaml,official_url,https://www.yotascale.com,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a2-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
cdktf,data/tools/deprecated-historical.yaml,repository_url,https://github.com/hashicorp/terraform-cdk,repository-archived,archived,,,false,false,true,archive-vs-product-boundary proof; ownership continuity; historical retention rationale,high,batch-b-archived-boundary,archive|retain historical provenance|remain inconclusive,true
grafana-oncall,data/tools/deprecated-historical.yaml,repository_url,https://github.com/grafana/oncall,repository-archived,archived,,https://github.com/grafana-cold-storage/oncall,true,false,true,archive-vs-product-boundary proof; ownership continuity; historical retention rationale,high,batch-b-archived-boundary,archive|retain historical provenance|remain inconclusive,true
juju,data/tools/configuration-management.yaml,repository_url,https://github.com/canonical/juju,repository-archived,needs-review,,,false,false,true,archive-vs-product-boundary proof; ownership continuity; historical retention rationale,high,batch-b-archived-boundary,preserve active product with archived repository|retain,true
kaniko,data/tools/deprecated-historical.yaml,repository_url,https://github.com/GoogleContainerTools/kaniko,repository-archived,archived,,,false,false,true,archive-vs-product-boundary proof; ownership continuity; historical retention rationale,high,batch-b-archived-boundary,archive|retain historical provenance|remain inconclusive,true
keptn,data/tools/deprecated-historical.yaml,official_url,https://keptn.sh,rate-limited,archived,HTTP 429: Too Many Requests,,false,false,false,archive-vs-product-boundary proof; ownership continuity; historical retention rationale,high,batch-b-archived-boundary,archive|retain historical provenance|remain inconclusive,true
keptn,data/tools/deprecated-historical.yaml,repository_url,https://github.com/keptn/keptn,repository-archived,archived,,,false,false,true,archive-vs-product-boundary proof; ownership continuity; historical retention rationale,high,batch-b-archived-boundary,archive|retain historical provenance|remain inconclusive,true
kubeapps,data/tools/deprecated-historical.yaml,repository_url,https://github.com/vmware-tanzu/kubeapps,repository-archived,archived,,,false,false,true,archive-vs-product-boundary proof; ownership continuity; historical retention rationale,high,batch-b-archived-boundary,archive|retain historical provenance|remain inconclusive,true
kubernetes-dashboard,data/tools/deprecated-historical.yaml,repository_url,https://github.com/kubernetes/dashboard,repository-archived,archived,,https://github.com/kubernetes-retired/dashboard,true,false,true,archive-vs-product-boundary proof; ownership continuity; historical retention rationale,high,batch-b-archived-boundary,archive|retain historical provenance|remain inconclusive,true
localstack,data/tools/virtualization-bare-metal-homelab.yaml,repository_url,https://github.com/localstack/localstack,repository-archived,active,,,false,false,true,archive-vs-product-boundary proof; ownership continuity; historical retention rationale,high,batch-b-archived-boundary,preserve active product with archived repository|retain,true
minio,data/tools/databases-caching-data-infrastructure.yaml,repository_url,https://github.com/minio/minio,repository-archived,needs-review,,,false,false,true,archive-vs-product-boundary proof; ownership continuity; historical retention rationale,high,batch-b-archived-boundary,preserve active product with archived repository|retain,true
tnu,data/tools/deprecated-historical.yaml,repository_url,https://github.com/jfroy/tnu,repository-archived,archived,,,false,false,true,archive-vs-product-boundary proof; ownership continuity; historical retention rationale,high,batch-b-archived-boundary,archive|retain historical provenance|remain inconclusive,true
ansible-lint,data/tools/ci-build-testing.yaml,documentation_url,https://ansible.readthedocs.io/projects/lint/,rate-limited,active,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
ansible-lint,data/tools/ci-build-testing.yaml,official_url,https://ansible.readthedocs.io/projects/lint,rate-limited,active,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
apache-cloudstack,data/tools/cloud-platforms-management.yaml,documentation_url,https://docs.cloudstack.apache.org,rate-limited,active,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
argo-workflows,data/tools/ci-build-testing.yaml,documentation_url,https://argo-workflows.readthedocs.io/en/latest/,rate-limited,active,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
argo-workflows,data/tools/ci-build-testing.yaml,official_url,https://argo-workflows.readthedocs.io/en/latest/,rate-limited,active,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
argocd,data/tools/cd-gitops-release-promotion.yaml,documentation_url,https://argo-cd.readthedocs.io/en/stable/,rate-limited,active,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
argocd,data/tools/cd-gitops-release-promotion.yaml,official_url,https://argo-cd.readthedocs.io/en/stable/,rate-limited,active,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
argocd-agent,data/tools/cd-gitops-release-promotion.yaml,official_url,https://argocd-agent.readthedocs.io/latest,rate-limited,needs-review,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
argocd-image-updater,data/tools/cd-gitops-release-promotion.yaml,documentation_url,https://argocd-image-updater.readthedocs.io/en/stable/,rate-limited,active,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
argocd-image-updater,data/tools/cd-gitops-release-promotion.yaml,official_url,https://argocd-image-updater.readthedocs.io/en/stable/,rate-limited,active,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
argocd-vault-plugin,data/tools/cd-gitops-release-promotion.yaml,documentation_url,https://argocd-vault-plugin.readthedocs.io/en/stable/,rate-limited,active,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
argocd-vault-plugin,data/tools/cd-gitops-release-promotion.yaml,official_url,https://argocd-vault-plugin.readthedocs.io/en/stable/,rate-limited,active,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
black,data/tools/developer-experience-local-environments.yaml,official_url,https://black.readthedocs.io,rate-limited,needs-review,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
cilium,data/tools/kubernetes-networking-storage-addons.yaml,documentation_url,https://docs.cilium.io/en/stable/,rate-limited,active,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
cosmian-kms,data/tools/iam-secrets-certificates.yaml,official_url,https://cosmian.com/data-protection-suite/cosmian-kms,transient-failure,needs-review,HTTP 500: Internal Server Error,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
drata,data/tools/application-cloud-security.yaml,official_url,https://drata.com,restricted-or-bot-blocked,needs-review,HTTP 403: Forbidden,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
entrust-keycontrol,data/tools/iam-secrets-certificates.yaml,official_url,https://www.entrust.com/products/key-management/keycontrol,restricted-or-bot-blocked,needs-review,HTTP 403: Forbidden,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
helmfile,data/tools/kubernetes-networking-storage-addons.yaml,official_url,https://helmfile.readthedocs.io/en/latest,rate-limited,needs-review,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
kcli,data/tools/virtualization-bare-metal-homelab.yaml,official_url,https://kcli.readthedocs.io/en/latest,rate-limited,needs-review,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
keda-gpu-scaler,data/tools/kubernetes-networking-storage-addons.yaml,official_url,https://keda-gpu-scaler.readthedocs.io/en/latest,rate-limited,needs-review,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
kubechecks,data/tools/cd-gitops-release-promotion.yaml,official_url,https://kubechecks.readthedocs.io/en/latest,rate-limited,needs-review,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
kuttl,data/tools/kubernetes-networking-storage-addons.yaml,official_url,https://kuttl.dev,dns-inconclusive,needs-review,gaierror: [Errno -5] No address associated with hostname,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
labex-devops-tutorials,data/tools/documentation-learning-career.yaml,official_url,https://labex.io/tutorials/category/devops,restricted-or-bot-blocked,needs-review,HTTP 403: Forbidden,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
linuxjourney,data/tools/foundations-linux-scripting.yaml,official_url,https://labex.io/linuxjourney,restricted-or-bot-blocked,needs-review,HTTP 403: Forbidden,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
mcp-server-kubernetes,data/tools/mlops-llmops-ai-infrastructure.yaml,official_url,https://www.npmjs.com/package/mcp-server-kubernetes,restricted-or-bot-blocked,needs-review,HTTP 403: Forbidden,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c1-access-retry,retain|replace with primary-source proof|remain inconclusive,true
oracle-cloud-infrastructure-oci,data/tools/cloud-platforms-management.yaml,official_url,https://www.oracle.com/cloud,restricted-or-bot-blocked,needs-review,HTTP 403: Forbidden,https://www.oracle.com/cloud/,true,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c2-access-retry,retain|replace with primary-source proof|remain inconclusive,true
paperless-ngx,data/tools/emerging-experimental.yaml,official_url,https://docs.paperless-ngx.com,restricted-or-bot-blocked,needs-review,HTTP 403: Forbidden,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c2-access-retry,retain|replace with primary-source proof|remain inconclusive,true
predictive-horizontal-pod-autoscaler,data/tools/kubernetes-networking-storage-addons.yaml,official_url,https://predictive-horizontal-pod-autoscaler.readthedocs.io/en/latest,rate-limited,needs-review,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c2-access-retry,retain|replace with primary-source proof|remain inconclusive,true
pytest,data/tools/ci-build-testing.yaml,official_url,https://docs.pytest.org/en/stable,rate-limited,needs-review,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c2-access-retry,retain|replace with primary-source proof|remain inconclusive,true
scrapling,data/tools/developer-experience-local-environments.yaml,official_url,https://scrapling.readthedocs.io/en/latest,rate-limited,needs-review,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c2-access-retry,retain|replace with primary-source proof|remain inconclusive,true
udemy-cka-course,data/tools/documentation-learning-career.yaml,official_url,https://www.udemy.com/course/certified-kubernetes-administrator-with-practice-tests,restricted-or-bot-blocked,needs-review,HTTP 403: Forbidden,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c2-access-retry,retain|replace with primary-source proof|remain inconclusive,true
vegacloud-inform,data/tools/finops-sustainability.yaml,official_url,https://www.vegacloud.io/products/inform,restricted-or-bot-blocked,needs-review,HTTP 403: Forbidden,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c2-access-retry,retain|replace with primary-source proof|remain inconclusive,true
volsync,data/tools/backup-disaster-recovery-resilience.yaml,official_url,https://volsync.readthedocs.io,rate-limited,needs-review,HTTP 429: Too Many Requests,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c2-access-retry,retain|replace with primary-source proof|remain inconclusive,true
vultr,data/tools/cloud-platforms-management.yaml,official_url,https://www.vultr.com,restricted-or-bot-blocked,needs-review,HTTP 403: Forbidden,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c2-access-retry,retain|replace with primary-source proof|remain inconclusive,true
wine,data/tools/developer-experience-local-environments.yaml,official_url,https://www.winehq.org,restricted-or-bot-blocked,needs-review,HTTP 403: Forbidden,,false,false,false,repeatable access under controlled retries; alternate official endpoint confirmation; anti-bot/rate-limit handling notes,medium,batch-c2-access-retry,retain|replace with primary-source proof|remain inconclusive,true
autopwn-suite,data/tools/application-cloud-security.yaml,status|needs_review|license_model|license_spdx,status=needs-review; needs_review=true; license_model=source-available,lifecycle-license-ambiguity,,Not derived from a single network status; requires primary-source lifecycle and license evidence.,,false,false,false,authoritative license text; lifecycle/governance statement; product-repository boundary evidence,high,batch-d-license-lifecycle-ambiguity,needs-review|retain|replace only with authoritative evidence,true
cai-robotsec,data/tools/application-cloud-security.yaml,status|needs_review|license_model|license_spdx,status=needs-review; needs_review=true; license_model=source-available,lifecycle-license-ambiguity,,Not derived from a single network status; requires primary-source lifecycle and license evidence.,,false,false,false,authoritative license text; lifecycle/governance statement; product-repository boundary evidence,high,batch-d-license-lifecycle-ambiguity,needs-review|retain|replace only with authoritative evidence,true
ctop,data/tools/virtualization-bare-metal-homelab.yaml,status|needs_review,status=needs-review; needs_review=true,lifecycle-license-ambiguity,,Not derived from a single network status; requires primary-source lifecycle and license evidence.,,false,false,false,authoritative license text; lifecycle/governance statement; product-repository boundary evidence,high,batch-d-license-lifecycle-ambiguity,needs-review|retain|replace only with authoritative evidence,true
elastic-apm-server,data/tools/monitoring-metrics-logs-tracing.yaml,status|needs_review|license_model|license_spdx,status=needs-review; needs_review=true; license_model=source-available,lifecycle-license-ambiguity,,Not derived from a single network status; requires primary-source lifecycle and license evidence.,,false,false,false,authoritative license text; lifecycle/governance statement; product-repository boundary evidence,high,batch-d-license-lifecycle-ambiguity,needs-review|retain|replace only with authoritative evidence,true
elastic-stack-elk,data/tools/monitoring-metrics-logs-tracing.yaml,status|needs_review|license_model|license_spdx,status=needs-review; needs_review=true; license_model=source-available,lifecycle-license-ambiguity,,Not derived from a single network status; requires primary-source lifecycle and license evidence.,,false,false,false,authoritative license text; lifecycle/governance statement; product-repository boundary evidence,high,batch-d-license-lifecycle-ambiguity,needs-review|retain|replace only with authoritative evidence,true
