"input_index","input_label","input_url","normalized_input_url","canonical_name","canonical_official_url","canonical_repository_url","existing_catalog_id","decision","resulting_catalog_id","duplicate_of_input_index","categories","license_model","license_spdx","status","needs_review","primary_evidence","notes"
"13","Arcane","https://getarcane.app/","https://getarcane.app","Arcane","https://getarcane.app/","https://github.com/getarcaneapp/arcane","","ADD","arcane","","virtualization-bare-metal-homelab","oss","BSD-3-Clause","active","false","https://getarcane.app/;https://github.com/getarcaneapp/arcane","Canonical metadata reconciled from the cited primary sources."
"14","NextDNS","https://nextdns.io/fr","https://nextdns.io/fr","NextDNS","https://nextdns.io/","","","ADD","nextdns","","application-cloud-security","commercial","","active","false","https://nextdns.io/;https://github.com/nextdns/nextdns/wiki","Canonical metadata reconciled from the cited primary sources."
"15","Wifit3","https://github.com/derv82/wifit3","https://github.com/derv82/wifit3","Wifit3","","https://github.com/derv82/wifit3","","ADD","wifit3","","application-cloud-security","oss","GPL-2.0-only","active","false","https://github.com/derv82/wifit3","Canonical metadata reconciled from the cited primary sources."
"16","Parrot Security","https://www.parrotsec.org/","https://www.parrotsec.org","Parrot Security","https://www.parrotsec.org/","","parrot-security","UPDATE_EXISTING","parrot-security","","application-cloud-security","oss","","active","false","https://www.parrotsec.org/;https://parrotsec.org/docs/;https://gitlab.com/parrotsec","Canonical metadata reconciled from the cited primary sources."
"17","BlackArch Linux","https://blackarch.org/","https://blackarch.org","BlackArch Linux","https://blackarch.org/","https://github.com/BlackArch/blackarch","","ADD","blackarch-linux","","application-cloud-security","oss","","active","false","https://blackarch.org/;https://blackarch.org/guide.html;https://github.com/BlackArch/blackarch","Canonical metadata reconciled from the cited primary sources."
"18","TShark","https://www.wireshark.org/docs/man-pages/tshark.html","https://www.wireshark.org/docs/man-pages/tshark.html","TShark","https://www.wireshark.org/docs/man-pages/tshark.html","","","ADD","tshark","","sre-incident-response-on-call","oss","GPL-2.0-or-later","active","false","https://www.wireshark.org/docs/man-pages/tshark.html;https://gitlab.com/wireshark/wireshark","Distinct CLI adoption surface within the Wireshark family."
"19","Reaver","https://github.com/t6x/reaver-wps-fork-t6x","https://github.com/t6x/reaver-wps-fork-t6x","Reaver","","https://github.com/t6x/reaver-wps-fork-t6x","","ADD","reaver","","application-cloud-security","unknown","","needs-review","true","https://github.com/t6x/reaver-wps-fork-t6x","Canonical metadata reconciled from the cited primary sources."
"20","John the Ripper","https://www.openwall.com/john/","https://www.openwall.com/john","John the Ripper","https://www.openwall.com/john/","https://github.com/openwall/john","","ADD","john-the-ripper","","application-cloud-security","oss","GPL-2.0-or-later","active","false","https://www.openwall.com/john/;https://www.openwall.com/john/doc/;https://github.com/openwall/john","Canonical metadata reconciled from the cited primary sources."
"21","Hashcat","https://hashcat.net/hashcat/","https://hashcat.net/hashcat","Hashcat","https://hashcat.net/hashcat/","https://github.com/hashcat/hashcat","","ADD","hashcat","","application-cloud-security","oss","MIT","active","false","https://hashcat.net/hashcat/;https://hashcat.net/wiki/;https://github.com/hashcat/hashcat","Canonical metadata reconciled from the cited primary sources."
"22","hcxdumptool","https://github.com/ZerBea/hcxdumptool","https://github.com/ZerBea/hcxdumptool","hcxdumptool","","https://github.com/ZerBea/hcxdumptool","","ADD","hcxdumptool","","application-cloud-security","oss","MIT","active","false","https://github.com/ZerBea/hcxdumptool","Canonical metadata reconciled from the cited primary sources."
"23","hcxtools","https://github.com/ZerBea/hcxtools","https://github.com/ZerBea/hcxtools","hcxtools","","https://github.com/ZerBea/hcxtools","","ADD","hcxtools","","application-cloud-security","oss","MIT","active","false","https://github.com/ZerBea/hcxtools","Canonical metadata reconciled from the cited primary sources."
"24","Root Me","https://www.root-me.org/","https://www.root-me.org","Root Me","https://www.root-me.org/","","","ADD","root-me","","documentation-learning-career","documentation","","active","false","https://www.root-me.org/","Canonical metadata reconciled from the cited primary sources."
"25","OmniRoute","https://omniroute.online/","https://omniroute.online","OmniRoute","https://omniroute.online/","","","ADD","omniroute","","mlops-llmops-ai-infrastructure","unknown","","needs-review","true","https://omniroute.online/","Canonical metadata reconciled from the cited primary sources."
"26","Harden-Runner","https://github.com/step-security/harden-runner","https://github.com/step-security/harden-runner","Harden-Runner","https://github.com/step-security/harden-runner","https://github.com/step-security/harden-runner","","ADD","harden-runner","","software-supply-chain-security","open-core","Apache-2.0","active","false","https://github.com/step-security/harden-runner;https://docs.stepsecurity.io/harden-runner","Open-source runner component; StepSecurity is a separate broader commercial platform."
"27","StepSecurity","https://www.stepsecurity.io/","https://www.stepsecurity.io","StepSecurity","https://www.stepsecurity.io/","","","ADD","stepsecurity","","software-supply-chain-security","commercial","","active","false","https://www.stepsecurity.io/;https://docs.stepsecurity.io/","Commercial suite with organization-wide controls beyond Harden-Runner."
"28","Agent Safe Pipeline","https://github.com/decionis/agent-safe-pipeline","https://github.com/decionis/agent-safe-pipeline","Agent Safe Pipeline","","https://github.com/decionis/agent-safe-pipeline","","SKIP_OUT_OF_SCOPE","","","","","","","","https://github.com/decionis/agent-safe-pipeline","Reference architecture is less than two weeks old."
"29","Moli","https://github.com/lexmount/moli","https://github.com/lexmount/moli","Moli","","https://github.com/lexmount/moli","","SKIP_OUT_OF_SCOPE","","","","","","","","https://github.com/lexmount/moli","Project is less than two weeks old."
"30","RepoD","https://getrepod.com/","https://getrepod.com","Repod","https://getrepod.com/","https://github.com/getautoflow/repod","","ADD","repod","","artifact-package-management","unknown","","needs-review","true","https://getrepod.com/;https://docs.getrepod.com/;https://github.com/getautoflow/repod","Canonical metadata reconciled from the cited primary sources."
"31","Rakazo","https://rakazo.com/#open-source","https://rakazo.com","Rakazo","https://rakazo.com/","https://github.com/elie222/rakazo","","ADD","rakazo","","mlops-llmops-ai-infrastructure","oss","Apache-2.0","needs-review","true","https://rakazo.com/;https://github.com/elie222/rakazo","Canonical metadata reconciled from the cited primary sources."
"32","Pulp Project","https://pulpproject.org/","https://pulpproject.org","Pulp","https://pulpproject.org/","https://github.com/pulp/pulpcore","","ADD","pulp","","artifact-package-management","oss","GPL-2.0-or-later","active","false","https://pulpproject.org/;https://pulpproject.org/pulpcore/;https://github.com/pulp/pulpcore","Canonical metadata reconciled from the cited primary sources."
"33","Jasmine","https://jasmine.github.io/","https://jasmine.github.io","Jasmine","https://jasmine.github.io/","https://github.com/jasmine/jasmine","","ADD","jasmine","","ci-build-testing","oss","MIT","active","false","https://jasmine.github.io/;https://github.com/jasmine/jasmine","Canonical metadata reconciled from the cited primary sources."
"34","Mockito","https://site.mockito.org/","https://site.mockito.org","Mockito","https://site.mockito.org/","https://github.com/mockito/mockito","","ADD","mockito","","ci-build-testing","oss","MIT","active","false","https://site.mockito.org/;https://github.com/mockito/mockito","Canonical metadata reconciled from the cited primary sources."
"35","JUnit","https://junit.org/","https://junit.org","JUnit","https://junit.org/","https://github.com/junit-team/junit-framework","","ADD","junit","","ci-build-testing","oss","EPL-2.0","active","false","https://junit.org/;https://docs.junit.org/current/user-guide/;https://github.com/junit-team/junit-framework","Canonical metadata reconciled from the cited primary sources."
"36","Cucumber","https://cucumber.io/","https://cucumber.io","Cucumber","https://cucumber.io/","","","ADD","cucumber","","ci-build-testing","oss","MIT","active","false","https://cucumber.io/;https://cucumber.io/docs/;https://github.com/cucumber","Canonical metadata reconciled from the cited primary sources."
"37","webpack","https://webpack.js.org/","https://webpack.js.org","webpack","https://webpack.js.org/","https://github.com/webpack/webpack","","ADD","webpack","","ci-build-testing","oss","MIT","active","false","https://webpack.js.org/;https://github.com/webpack/webpack","Canonical metadata reconciled from the cited primary sources."
"38","Yarn","https://yarnpkg.com/","https://yarnpkg.com","Yarn","https://yarnpkg.com/","https://github.com/yarnpkg/berry","","ADD","yarn","","artifact-package-management","oss","BSD-2-Clause","active","false","https://yarnpkg.com/;https://yarnpkg.com/getting-started;https://github.com/yarnpkg/berry","Canonical metadata reconciled from the cited primary sources."
"39","Gerrit Code Review","https://www.gerritcodereview.com/","https://www.gerritcodereview.com","Gerrit Code Review","https://www.gerritcodereview.com/","https://gerrit.googlesource.com/gerrit","","ADD","gerrit-code-review","","source-control-repository-management","oss","Apache-2.0","active","false","https://www.gerritcodereview.com/;https://gerrit-documentation.storage.googleapis.com/Documentation/3.13.0/index.html;https://gerrit.googlesource.com/gerrit","Canonical metadata reconciled from the cited primary sources."
"40","Doupro","https://github.com/arnaudcharles/Doupro","https://github.com/arnaudcharles/Doupro","Doupro","","https://github.com/arnaudcharles/Doupro","","SKIP_OUT_OF_SCOPE","","","","","","","","https://github.com/arnaudcharles/Doupro","New personal Docker updater lacks maintenance history."
"41","phpIPAM","https://phpipam.net/","https://phpipam.net","phpIPAM","https://phpipam.net/","https://github.com/phpipam/phpipam","","ADD","phpipam","","databases-caching-data-infrastructure","oss","GPL-3.0-only","active","false","https://phpipam.net/;https://phpipam.net/documents/;https://github.com/phpipam/phpipam","Canonical metadata reconciled from the cited primary sources."
"42","Sysdig","https://www.sysdig.com/","https://www.sysdig.com","Sysdig Secure","https://www.sysdig.com/","","","ADD","sysdig","","application-cloud-security","commercial","","active","false","https://www.sysdig.com/;https://docs.sysdig.com/en/docs/sysdig-secure/","Commercial Sysdig Secure identity, not the separate Falco project."
"43","Stratoshark","https://stratoshark.org/","https://stratoshark.org","Stratoshark","https://stratoshark.org/","","","ADD","stratoshark","","sre-incident-response-on-call","oss","GPL-2.0-or-later","active","false","https://stratoshark.org/;https://gitlab.com/wireshark/wireshark","Canonical metadata reconciled from the cited primary sources."
"44","netprobe_lite","https://github.com/plaintextpackets/netprobe_lite","https://github.com/plaintextpackets/netprobe_lite","netprobe_lite","","https://github.com/plaintextpackets/netprobe_lite","","SKIP_OUT_OF_SCOPE","","","","","","","","https://github.com/plaintextpackets/netprobe_lite","Personal tester lacks licence and current maintenance evidence."
"45","k8s-mechanic","https://github.com/lenaxia/k8s-mechanic","https://github.com/lenaxia/k8s-mechanic","k8s-mechanic","","https://github.com/lenaxia/k8s-mechanic","","ADD","k8s-mechanic","","kubernetes-distributions-operations","oss","Apache-2.0","needs-review","true","https://github.com/lenaxia/k8s-mechanic","Formerly k8s-mendabot; early-stage maturity needs review."
"46","ksolver","https://github.com/syslenslabs/ksolver","https://github.com/syslenslabs/ksolver","ksolver","","https://github.com/syslenslabs/ksolver","","NEEDS_REVIEW","","","","","","","","https://github.com/syslenslabs/ksolver","No primary description or documentation."
"47","cookiecluster","https://github.com/clowdhaus/cookiecluster","https://github.com/clowdhaus/cookiecluster","cookiecluster","","https://github.com/clowdhaus/cookiecluster","","NEEDS_REVIEW","","","","","","","","https://github.com/clowdhaus/cookiecluster","Description is too vague to establish an adoption boundary."
"48","Model Express","https://github.com/ai-dynamo/modelexpress","https://github.com/ai-dynamo/modelexpress","Model Express","","https://github.com/ai-dynamo/modelexpress","","ADD","model-express","","mlops-llmops-ai-infrastructure","oss","Apache-2.0","active","false","https://github.com/ai-dynamo/modelexpress","Canonical metadata reconciled from the cited primary sources."
"49","HAProxy Data Plane API","https://github.com/haproxytech/dataplaneapi","https://github.com/haproxytech/dataplaneapi","HAProxy Data Plane API","https://www.haproxy.com/documentation/dataplaneapi/","https://github.com/haproxytech/dataplaneapi","haproxy-data-plane-api","UPDATE_EXISTING","haproxy-data-plane-api","","kubernetes-networking-storage-addons","oss","Apache-2.0","active","false","https://www.haproxy.com/documentation/dataplaneapi/;https://github.com/haproxytech/dataplaneapi","Canonical metadata reconciled from the cited primary sources."
"50","Burp Suite Community Edition","https://portswigger.net/burp/communitydownload","https://portswigger.net/burp/communitydownload","Burp Suite Community Edition","https://portswigger.net/burp/downloads","","","ADD","burp-suite-community-edition","","application-cloud-security","commercial","","active","false","https://portswigger.net/burp/downloads;https://portswigger.net/burp/documentation/desktop/getting-started/download-and-install","Community Edition is proprietary freeware and narrower than paid Burp editions."
"51","Nmap","https://nmap.org/","https://nmap.org","Nmap","https://nmap.org/","https://github.com/nmap/nmap","","ADD","nmap","","application-cloud-security","source-available","","active","false","https://nmap.org/;https://nmap.org/docs.html;https://github.com/nmap/nmap","Nmap uses the non-OSI NPSL."
"52","ffuf","https://github.com/ffuf/ffuf","https://github.com/ffuf/ffuf","ffuf","","https://github.com/ffuf/ffuf","","ADD","ffuf","","application-cloud-security","oss","MIT","active","false","https://github.com/ffuf/ffuf","Canonical metadata reconciled from the cited primary sources."
"53","HTTPX Python","https://www.python-httpx.org/","https://www.python-httpx.org","HTTPX","https://www.python-httpx.org/","https://github.com/encode/httpx","","ADD","httpx-python","","developer-experience-local-environments","oss","BSD-3-Clause","active","false","https://www.python-httpx.org/;https://github.com/encode/httpx","Canonical metadata reconciled from the cited primary sources."
"54","Katana","https://github.com/projectdiscovery/katana","https://github.com/projectdiscovery/katana","Katana","","https://github.com/projectdiscovery/katana","","ADD","katana","","application-cloud-security","oss","MIT","active","false","https://github.com/projectdiscovery/katana","Canonical metadata reconciled from the cited primary sources."
"55","sqlmap","https://sqlmap.org/","https://sqlmap.org","sqlmap","https://sqlmap.org/","https://github.com/sqlmapproject/sqlmap","","ADD","sqlmap","","application-cloud-security","oss","GPL-2.0-or-later","active","false","https://sqlmap.org/;https://github.com/sqlmapproject/sqlmap","Canonical metadata reconciled from the cited primary sources."
"56","Certipy","https://github.com/ly4k/Certipy","https://github.com/ly4k/Certipy","Certipy","","https://github.com/ly4k/Certipy","","ADD","certipy","","application-cloud-security","oss","MIT","active","false","https://github.com/ly4k/Certipy","Canonical metadata reconciled from the cited primary sources."
"57","Impacket","https://github.com/fortra/impacket","https://github.com/fortra/impacket","Impacket","","https://github.com/fortra/impacket","","ADD","impacket","","application-cloud-security","oss","","active","false","https://github.com/fortra/impacket","Modified Apache 1.1 terms; no SPDX expression recorded."
"58","ROADtools","https://github.com/dirkjanm/ROADtools","https://github.com/dirkjanm/ROADtools","ROADtools","","https://github.com/dirkjanm/ROADtools","","ADD","roadtools","","application-cloud-security","oss","MIT","active","false","https://github.com/dirkjanm/ROADtools","Canonical metadata reconciled from the cited primary sources."
"59","NetExec","https://www.netexec.wiki/","https://www.netexec.wiki","NetExec","https://www.netexec.wiki/","https://github.com/Pennyw0rth/NetExec","","ADD","netexec","","application-cloud-security","oss","BSD-2-Clause","active","false","https://www.netexec.wiki/;https://github.com/Pennyw0rth/NetExec","Canonical metadata reconciled from the cited primary sources."
"60","CloudFox vendor article","https://bishopfox.com/blog/introducing-cloudfox","https://bishopfox.com/blog/introducing-cloudfox","CloudFox","","https://github.com/BishopFox/cloudfox","","ADD","cloudfox","","application-cloud-security","oss","MIT","active","false","https://github.com/BishopFox/cloudfox","Article and repository identify one CloudFox project."
"61","CloudFox repository","https://github.com/BishopFox/cloudfox","https://github.com/BishopFox/cloudfox","CloudFox","","https://github.com/BishopFox/cloudfox","","SKIP_DUPLICATE","cloudfox","60","application-cloud-security","oss","MIT","active","false","https://github.com/BishopFox/cloudfox","Duplicate of input 60."
"62","Cartography","https://docs.cartography.dev/","https://docs.cartography.dev","Cartography","https://docs.cartography.dev/","https://github.com/lyft/cartography","","ADD","cartography","","application-cloud-security","oss","Apache-2.0","active","false","https://docs.cartography.dev/;https://github.com/lyft/cartography","Canonical metadata reconciled from the cited primary sources."
"63","Kubescape","https://kubescape.io/","https://kubescape.io","Kubescape","https://kubescape.io/","https://github.com/kubescape/kubescape","kubescape","UPDATE_EXISTING","kubescape","","kubernetes-distributions-operations","oss","Apache-2.0","active","false","https://kubescape.io/;https://github.com/kubescape/kubescape;https://kubescape.io/docs/","Canonical metadata reconciled from the cited primary sources."
"64","PEASS-ng","https://github.com/peass-ng/PEASS-ng","https://github.com/peass-ng/PEASS-ng","PEASS-ng","","https://github.com/peass-ng/PEASS-ng","","ADD","peass-ng","","application-cloud-security","unknown","","needs-review","false","https://github.com/peass-ng/PEASS-ng;https://github.com/peass-ng/PEASS-ng/blob/master/LICENSE","Project-wide licence was not proven."
"65","Metasploit","https://www.metasploit.com/","https://www.metasploit.com","Metasploit Framework","https://www.metasploit.com/","https://github.com/rapid7/metasploit-framework","","ADD","metasploit","","application-cloud-security","oss","BSD-3-Clause","active","false","https://www.metasploit.com/;https://docs.metasploit.com/;https://github.com/rapid7/metasploit-framework","Canonical metadata reconciled from the cited primary sources."
"66","Ghostwriter","https://www.ghostwriter.wiki/home","https://www.ghostwriter.wiki/home","Ghostwriter","https://www.ghostwriter.wiki/home","https://github.com/GhostManager/Ghostwriter","","ADD","ghostwriter","","application-cloud-security","oss","BSD-3-Clause","active","false","https://www.ghostwriter.wiki/home;https://github.com/GhostManager/Ghostwriter","Canonical metadata reconciled from the cited primary sources."
"67","DefectDojo","https://github.com/defectdojo/django-DefectDojo","https://github.com/defectdojo/django-DefectDojo","DefectDojo","https://www.defectdojo.com/","https://github.com/DefectDojo/django-DefectDojo","","ADD","defectdojo","","application-cloud-security","open-core","BSD-3-Clause","active","false","https://www.defectdojo.com/;https://docs.defectdojo.com/;https://github.com/DefectDojo/django-DefectDojo","Canonical metadata reconciled from the cited primary sources."
"68","OWASP Amass","https://owasp.org/www-project-amass/","https://owasp.org/www-project-amass","OWASP Amass","https://owasp.org/www-project-amass/","https://github.com/owasp-amass/amass","","ADD","owasp-amass","","application-cloud-security","oss","Apache-2.0","active","false","https://owasp.org/www-project-amass/;https://github.com/owasp-amass/amass","Canonical metadata reconciled from the cited primary sources."
"69","RustScan","https://github.com/bee-san/rustscan","https://github.com/bee-san/rustscan","RustScan","","https://github.com/bee-san/rustscan","","ADD","rustscan","","application-cloud-security","oss","GPL-3.0-only","active","false","https://github.com/bee-san/rustscan","Canonical metadata reconciled from the cited primary sources."
"70","masscan","https://github.com/robertdavidgraham/masscan","https://github.com/robertdavidgraham/masscan","masscan","","https://github.com/robertdavidgraham/masscan","","ADD","masscan","","application-cloud-security","oss","AGPL-3.0-only","active","false","https://github.com/robertdavidgraham/masscan","Canonical metadata reconciled from the cited primary sources."
"71","Schemathesis","https://schemathesis.readthedocs.io/en/stable/","https://schemathesis.readthedocs.io/en/stable","Schemathesis","https://schemathesis.readthedocs.io/en/stable/","https://github.com/schemathesis/schemathesis","","ADD","schemathesis","","ci-build-testing","oss","MIT","active","false","https://schemathesis.readthedocs.io/en/stable/;https://github.com/schemathesis/schemathesis","Canonical metadata reconciled from the cited primary sources."
"72","ROADtools duplicate input","https://github.com/dirkjanm/roadtools","https://github.com/dirkjanm/roadtools","ROADtools","","https://github.com/dirkjanm/ROADtools","","SKIP_DUPLICATE","roadtools","58","application-cloud-security","oss","MIT","active","false","https://github.com/dirkjanm/ROADtools","Case-only duplicate of input 58."
"73","KICS","https://kics.io/index.html","https://kics.io/index.html","KICS","https://kics.io","https://github.com/Checkmarx/kics","kics","ALREADY_PRESENT_NO_CHANGE","kics","","infrastructure-as-code","oss","Apache-2.0","active","false","https://kics.io/index.html","Canonical metadata reconciled from the cited primary sources."
"74","Aircrack-ng","https://www.aircrack-ng.org/","https://www.aircrack-ng.org","Aircrack-ng","https://www.aircrack-ng.org/","https://github.com/aircrack-ng/aircrack-ng","","ADD","aircrack-ng","","application-cloud-security","oss","","active","false","https://www.aircrack-ng.org/;https://www.aircrack-ng.org/documentation;https://github.com/aircrack-ng/aircrack-ng","Canonical metadata reconciled from the cited primary sources."
"75","Dradis Community Edition","https://dradis.com/ce/","https://dradis.com/ce","Dradis Community Edition","https://dradis.com/ce/","https://github.com/dradis/dradis-ce","","ADD","dradis-community-edition","","application-cloud-security","oss","GPL-2.0-only","active","false","https://dradis.com/ce/;https://github.com/dradis/dradis-ce","Canonical metadata reconciled from the cited primary sources."
"76","asciinema","https://asciinema.org/","https://asciinema.org","asciinema","https://asciinema.org/","https://github.com/asciinema/asciinema","","ADD","asciinema","","documentation-learning-career","oss","GPL-3.0-only","active","false","https://asciinema.org/;https://github.com/asciinema/asciinema","Canonical metadata reconciled from the cited primary sources."
"77","subfinder","https://github.com/projectdiscovery/subfinder","https://github.com/projectdiscovery/subfinder","subfinder","","https://github.com/projectdiscovery/subfinder","","ADD","subfinder","","application-cloud-security","oss","MIT","active","false","https://github.com/projectdiscovery/subfinder","Canonical metadata reconciled from the cited primary sources."
"78","feroxbuster documentation","https://epi052.github.io/feroxbuster-docs/overview/","https://epi052.github.io/feroxbuster-docs/overview","feroxbuster","","https://github.com/epi052/feroxbuster","","ADD","feroxbuster","","application-cloud-security","oss","MIT","active","false","https://epi052.github.io/feroxbuster-docs/overview/;https://github.com/epi052/feroxbuster","Documentation and repository identify one project."
"79","feroxbuster repository","https://github.com/epi052/feroxbuster","https://github.com/epi052/feroxbuster","feroxbuster","","https://github.com/epi052/feroxbuster","","SKIP_DUPLICATE","feroxbuster","78","application-cloud-security","oss","MIT","active","false","https://epi052.github.io/feroxbuster-docs/overview/;https://github.com/epi052/feroxbuster","Duplicate of input 78."
"80","graphql-cop","https://github.com/dolevf/graphql-cop","https://github.com/dolevf/graphql-cop","graphql-cop","","https://github.com/dolevf/graphql-cop","","ADD","graphql-cop","","application-cloud-security","oss","MIT","active","false","https://github.com/dolevf/graphql-cop","Canonical metadata reconciled from the cited primary sources."
"81","Vaultwarden","https://www.vaultwarden.net/","https://www.vaultwarden.net","Vaultwarden","https://www.vaultwarden.net/","https://github.com/dani-garcia/vaultwarden","","ADD","vaultwarden","","iam-secrets-certificates","oss","AGPL-3.0-only","active","false","https://www.vaultwarden.net/;https://github.com/dani-garcia/vaultwarden","Canonical metadata reconciled from the cited primary sources."
"82","demonolith","https://github.com/schrieksoft/demonolith","https://github.com/schrieksoft/demonolith","demonolith","","https://github.com/schrieksoft/demonolith","","NEEDS_REVIEW","","","","","","","","https://github.com/schrieksoft/demonolith","No primary description or reliable licence evidence."
"83","The Update Framework","https://theupdateframework.io/","https://theupdateframework.io","The Update Framework","https://theupdateframework.io/","https://github.com/theupdateframework/specification","","ADD","the-update-framework","","software-supply-chain-security","oss","","active","false","https://theupdateframework.io/;https://theupdateframework.github.io/specification/latest/;https://github.com/theupdateframework/specification","Multiple implementations and licences; no single SPDX expression."
"84","Knative","https://knative.dev/","https://knative.dev","Knative","https://knative.dev/","","knative","UPDATE_EXISTING","knative","","serverless-edge-webassembly","oss","","active","false","https://knative.dev/;https://knative.dev/docs/;https://github.com/knative","Canonical metadata reconciled from the cited primary sources."
"85","Checkmate","https://checkmate.so/","https://checkmate.so","Checkmate","https://checkmate.so/","https://github.com/bluewave-labs/checkmate","","ADD","checkmate","","monitoring-metrics-logs-tracing","oss","AGPL-3.0-only","active","false","https://checkmate.so/;https://checkmate.so/docs;https://github.com/bluewave-labs/checkmate","Canonical metadata reconciled from the cited primary sources."
"86","PikaPods","https://www.pikapods.com/","https://www.pikapods.com","PikaPods","https://www.pikapods.com/","","","ADD","pikapods","","virtualization-bare-metal-homelab","commercial","","active","false","https://www.pikapods.com/;https://docs.pikapods.com/","Application-hosting service, not the applications it hosts."
"87","Vikunja","https://vikunja.io/","https://vikunja.io","Vikunja","https://vikunja.io/","","","SKIP_OUT_OF_SCOPE","","","","","","","","https://vikunja.io/","General productivity app is outside scope."
"88","Nextcloud","https://nextcloud.com/fr/","https://nextcloud.com/fr","Nextcloud","https://nextcloud.com/","https://github.com/nextcloud/server","","ADD","nextcloud","","virtualization-bare-metal-homelab","open-core","AGPL-3.0-only","active","false","https://nextcloud.com/;https://docs.nextcloud.com/;https://github.com/nextcloud/server","Platform identity includes self-hosted server and commercial offerings."
