"input_index","input_label","input_url","normalized_input_url","canonical_name","canonical_official_url","canonical_repository_url","existing_catalog_id","decision","resulting_catalog_id","duplicate_of_input_index","categories","license_model","license_spdx","status","needs_review","primary_evidence","notes"
"29","Kubernetes-MCP-Guard","https://github.com/mirusser/Kubernetes-MCP-Guard/tree/main","https://github.com/mirusser/Kubernetes-MCP-Guard","Kubernetes MCP Guard","","https://github.com/mirusser/Kubernetes-MCP-Guard","","ADD","kubernetes-mcp-guard","","application-cloud-security;emerging-experimental","oss","Apache-2.0","active","false","canonical repository;README;LICENSE","Branch deep path normalized; human approval boundary documented."
"30","Praesto","https://github.com/federicolepera/praesto","https://github.com/federicolepera/praesto","Praesto","","https://github.com/federicolepera/praesto","","ADD","praesto","","mlops-llmops-ai-infrastructure;kubernetes-networking-storage-addons;emerging-experimental","oss","Apache-2.0","active","false","canonical repository;architecture documentation;LICENSE","Recent model-cache operator included conservatively as emerging."
"31","docker-http-https-echo","https://code.mendhak.com/docker-http-https-echo/","https://code.mendhak.com/docker-http-https-echo/","docker-http-https-echo","https://code.mendhak.com/docker-http-https-echo/","https://github.com/mendhak/docker-http-https-echo","","ADD","docker-http-https-echo","","developer-experience-local-environments;ci-build-testing","oss","MIT","active","false","official documentation;canonical repository;LICENSE","Test-only echo behavior and sensitive-data caveat documented."
"32","VirtualEyes","https://virtualeyes.io/","https://virtualeyes.io/","VirtualEyes","https://virtualeyes.io/","","","ADD","virtualeyes","","monitoring-metrics-logs-tracing","free-saas","","active","false","official service page","Current hosted monitoring service advertises free entry; no source licence inferred."
"33","diffyml","https://szhekpisov.github.io/diffyml/","https://szhekpisov.github.io/diffyml/","diffyml","https://szhekpisov.github.io/diffyml/","https://github.com/szhekpisov/diffyml","","ADD","diffyml","","developer-experience-local-environments","oss","MIT","active","false","official documentation;canonical repository;LICENSE","Structural YAML diff capability is operationally distinct."
"34","GitButler","https://gitbutler.com/","https://gitbutler.com/","GitButler","https://gitbutler.com/","https://github.com/gitbutlerapp/gitbutler","","ADD","gitbutler","","source-control-repository-management;developer-experience-local-environments","source-available","FSL-1.1-MIT","active","false","official site;canonical repository;FSL licence","Public source is not mislabeled OSS; commercial relationship retained."
"35","Trippy","https://trippy.rs/","https://trippy.rs/","Trippy","https://trippy.rs/","https://github.com/fujiapple852/trippy","","ADD","trippy","","foundations-linux-scripting","oss","Apache-2.0","active","false","official documentation;canonical repository;LICENSE","Interactive network diagnostic utility."
"36","restic","https://restic.net/","https://restic.net/","restic","https://restic.net/","https://github.com/restic/restic","","ADD","restic","","backup-disaster-recovery-resilience","oss","BSD-2-Clause","active","false","official site;canonical repository;LICENSE","No existing canonical identity matched."
"37","AFFiNE","https://affine.pro/","https://affine.pro/","AFFiNE","https://affine.pro/","https://github.com/toeverything/AFFiNE","","ADD","affine","","documentation-learning-career","open-core","","active","false","official product site;canonical repository;mixed backend licence tree","Mixed community and enterprise boundaries prevent a single SPDX value; modeled as open-core."
"38","Ubuntu Kubernetes","https://ubuntu.com/kubernetes","https://ubuntu.com/kubernetes","Canonical Kubernetes","https://ubuntu.com/kubernetes","https://github.com/canonical/k8s-snap","","ADD","canonical-kubernetes","","kubernetes-distributions-operations","oss","GPL-3.0-only","active","false","official product page;official documentation;canonical repository;LICENSE","Current Canonical Kubernetes identity is an open-source GPLv3 distribution with optional commercial support and managed operations."
"39","CRC","https://crc.dev/blog/","https://crc.dev/","CRC","https://crc.dev/","https://github.com/crc-org/crc","","ADD","crc","","kubernetes-distributions-operations;developer-experience-local-environments","oss","Apache-2.0","active","false","current official site;canonical repository;LICENSE","Old blog deep path normalized; current CRC covers local OpenShift MicroShift and Podman environments rather than a stale CodeReady identity."
"40","Civo Managed Kubernetes","https://www.civo.com/public-cloud/kubernetes","https://www.civo.com/public-cloud/kubernetes","Civo","https://www.civo.com","","civo","ALREADY_PRESENT_NO_CHANGE","civo","","cloud-platforms-management","commercial","","active","false","official product page;existing Civo record","Existing Civo record is already specifically focused on managed Kubernetes and remains defensible."
"41","Exoscale SKS","https://www.exoscale.com/sks/","https://www.exoscale.com/sks/","Exoscale SKS","https://www.exoscale.com/sks/","","","ADD","exoscale-sks","","kubernetes-distributions-operations","commercial","","active","false","official product page;official documentation","Distinct managed service adoption boundary."
"42","Oracle Kubernetes Engine","https://www.oracle.com/fr/cloud/cloud-native/kubernetes-engine/","https://www.oracle.com/cloud/cloud-native/kubernetes-engine/","Oracle Kubernetes Engine","https://www.oracle.com/cloud/cloud-native/kubernetes-engine/","","oracle-cloud-infrastructure-oci","ADD","oracle-kubernetes-engine","","kubernetes-distributions-operations","commercial","","active","false","canonical official product page;official documentation","Separate from broad OCI provider record because managed control-plane adoption is materially distinct."
"43","Scaleway Kubernetes Kapsule","https://www.scaleway.com/en/kubernetes-kapsule/","https://www.scaleway.com/en/kubernetes-kapsule/","Scaleway Kubernetes Kapsule","https://www.scaleway.com/en/kubernetes-kapsule/","","scaleway","ADD","scaleway-kapsule","","kubernetes-distributions-operations","commercial","","active","false","official product page;official documentation","Separate from broad Scaleway provider; provider-hosted worker topology differs from Kosmos."
"44","Scaleway Kubernetes Kosmos","https://www.scaleway.com/fr/kubernetes-kosmos/","https://www.scaleway.com/en/kubernetes-kosmos/","Scaleway Kubernetes Kosmos","https://www.scaleway.com/en/kubernetes-kosmos/","","scaleway","ADD","scaleway-kosmos","","kubernetes-distributions-operations","commercial","","active","false","canonical official product page;official documentation","Separate multi-cloud worker topology is a distinct adoption decision from Kapsule."
"45","k3sup","https://github.com/alexellis/k3sup","https://github.com/alexellis/k3sup","k3sup","","https://github.com/alexellis/k3sup","","ADD","k3sup","","kubernetes-distributions-operations","open-core","MIT","active","false","canonical repository;edition-specific licence file","Community CLI is MIT while Pro features are proprietary; modeled as open-core."
"46","kOps","https://kops.sigs.k8s.io/","https://kops.sigs.k8s.io/","kOps","https://kops.sigs.k8s.io/","https://github.com/kubernetes/kops","","ADD","kops","","kubernetes-distributions-operations","oss","Apache-2.0","active","false","official SIG documentation;canonical repository;LICENSE","No existing canonical identity matched."
"47","KubeKey","https://github.com/kubesphere/kubekey","https://github.com/kubesphere/kubekey","KubeKey","","https://github.com/kubesphere/kubekey","","ADD","kubekey","","kubernetes-distributions-operations","oss","Apache-2.0","active","false","canonical repository;LICENSE","Installer component is a separate operational decision from KubeSphere."
"48","kURL","https://kurl.sh/","https://kurl.sh/","kURL","https://kurl.sh/","https://github.com/replicatedhq/kURL","","ADD","kurl","","kubernetes-distributions-operations","oss","Apache-2.0","active","false","official site;canonical repository;LICENSE","Installer packaging toolkit distinguished from a Kubernetes distribution."
"49","KubeMarine","https://github.com/Netcracker/KubeMarine","https://github.com/Netcracker/KubeMarine","KubeMarine","","https://github.com/Netcracker/KubeMarine","","ADD","kubemarine","","kubernetes-distributions-operations","oss","Apache-2.0","active","false","canonical repository;LICENSE","No existing canonical identity matched."
"50","OKD","https://okd.io/","https://okd.io/","OKD","https://okd.io","https://github.com/okd-project/okd","okd","UPDATE_EXISTING","okd","","kubernetes-distributions-operations","oss","Apache-2.0","active","false","official site;canonical repository;LICENSE","Updated current licence status maturity verification date and primary sources; cleared prior needs-review state."
"51","OpenStack Magnum — OpenDev upstream candidate","https://opendev.org/openstack/magnum","https://opendev.org/openstack/magnum","OpenStack Magnum","https://docs.openstack.org/magnum/latest/","https://opendev.org/openstack/magnum","","ADD","openstack-magnum","","kubernetes-distributions-operations;cloud-platforms-management","oss","Apache-2.0","active","false","OpenDev upstream;OpenStack documentation;GitHub mirror description","OpenDev is the project of record; one semantic Magnum identity added."
"52","OpenStack Magnum — GitHub mirror candidate","https://github.com/openstack/magnum","https://github.com/openstack/magnum","OpenStack Magnum","https://docs.openstack.org/magnum/latest/","https://opendev.org/openstack/magnum","","SKIP_DUPLICATE","openstack-magnum","51","kubernetes-distributions-operations;cloud-platforms-management","oss","Apache-2.0","active","false","GitHub repository description;OpenDev upstream","Explicit GitHub mirror duplicates occurrence 51; reviewed alias maps it to OpenDev."
"53","OpenDev","https://opendev.org/","https://opendev.org/","OpenDev","https://opendev.org/","","","ADD","opendev","","source-control-repository-management;ci-build-testing","free-saas","","active","false","official service;official system documentation","Public integrated hosting review and CI service is distinct from the Magnum project it hosts."
"54","Kubespray","https://github.com/kubernetes-sigs/kubespray","https://github.com/kubernetes-sigs/kubespray","Kubespray","https://kubespray.io/","https://github.com/kubernetes-sigs/kubespray","","ADD","kubespray","","kubernetes-distributions-operations;configuration-management","oss","Apache-2.0","active","false","canonical SIG repository;official documentation;LICENSE","No existing canonical identity matched."
"55","Pulumi","https://www.pulumi.com/","https://www.pulumi.com/","Pulumi","https://www.pulumi.com","https://github.com/pulumi/pulumi","pulumi","UPDATE_EXISTING","pulumi","","infrastructure-as-code","open-core","Apache-2.0","active","false","official site;canonical core repository;LICENSE","Updated current core licence commercial offering maturity status verification date and primary sources; cleared prior needs-review state."
"56","Kairos","https://kairos.io/","https://kairos.io/","Kairos","https://kairos.io/","https://github.com/kairos-io/kairos","","ADD","kairos","","kubernetes-distributions-operations","oss","Apache-2.0","active","false","official site;canonical repository;LICENSE","Immutable edge OS layer is distinct from a Kubernetes installer or managed service."
"57","Gardener","https://gardener.cloud/","https://gardener.cloud/","Gardener","https://gardener.cloud/","https://github.com/gardener/gardener","","ADD","gardener","","kubernetes-distributions-operations","oss","Apache-2.0","active","false","official site;canonical repository;LICENSE","Existing Garden and Compute Gardener records are unrelated identities."
"58","KWOK","https://kwok.sigs.k8s.io/","https://kwok.sigs.k8s.io/","KWOK","https://kwok.sigs.k8s.io/","https://github.com/kubernetes-sigs/kwok","","ADD","kwok","","kubernetes-distributions-operations;chaos-performance-engineering","oss","Apache-2.0","active","false","official SIG documentation;canonical repository;LICENSE","Simulation boundaries explicitly documented."
"59","Ansible kubernetes.core collection","https://github.com/ansible-collections/kubernetes.core","https://github.com/ansible-collections/kubernetes.core","Ansible kubernetes.core collection","https://docs.ansible.com/ansible/latest/collections/kubernetes/core/","https://github.com/ansible-collections/kubernetes.core","","ADD","ansible-kubernetes-core","","configuration-management;kubernetes-distributions-operations","oss","GPL-3.0-or-later","active","false","canonical collection repository;official Ansible documentation;LICENSE","Collection is a distinct installable automation component rather than a duplicate Ansible identity."
"60","AttuneOps","https://attuneops.io/","https://attuneops.io/","AttuneOps","https://attuneops.io/","","","ADD","attuneops","","configuration-management;workflow-automation-chatops","commercial","","active","false","official product page;official pricing;official documentation","Free single-user Community binary is not evidence of an OSS licence; product modeled as commercial."
"61","FlowG","https://flowg.cloud/","https://flowg.cloud/","FlowG","https://flowg.cloud/","https://github.com/link-society/flowg","","ADD","flowg","","monitoring-metrics-logs-tracing","oss","MIT","active","false","official site;canonical repository;LICENSE","Recent but documented log platform included with emerging maturity."
"62","Ballast","https://github.com/Tight-Line/ballast","https://github.com/Tight-Line/ballast","Ballast","","https://github.com/Tight-Line/ballast","","ADD","ballast","","finops-sustainability;emerging-experimental","oss","MIT","active","false","canonical repository;README;LICENSE","Recent resource right-sizing operator included as experimental with rollout caveat."
