input_index,input_label,input_url,normalized_input_url,canonical_name,canonical_official_url,canonical_repository_url,existing_catalog_id,decision,resulting_catalog_id,duplicate_of_input_index,categories,license_model,license_spdx,status,needs_review,primary_evidence,notes
11,stillHQ,https://stillhq.io/,https://stillhq.io/,stillHQ,,,,SKIP_OUT_OF_SCOPE,,,,,,,,https://stillhq.io/,stillHQ identifies the consumer stillOS desktop distribution; atomic updates alone do not establish a distinct operational-engineering use case.
12,Kubuntu,https://kubuntu.org/,https://kubuntu.org/,Kubuntu,,,,SKIP_OUT_OF_SCOPE,,,,,,,,https://kubuntu.org/,Kubuntu is an Ubuntu KDE desktop distribution; the submitted desktop choice does not establish a distinct operational adoption requirement.
13,Vanilla OS,https://vanillaos.org/,https://vanillaos.org/,Vanilla OS,,,,SKIP_OUT_OF_SCOPE,,,,,,,,https://vanillaos.org/,Vanilla OS is presented as a general daily-use desktop; no sufficiently direct server or fleet operating requirement was established for this submission.
14,Linux Mint,https://linuxmint.com/,https://linuxmint.com/,Linux Mint,,,,SKIP_OUT_OF_SCOPE,,,,,,,,https://linuxmint.com/,Linux Mint targets desktop and laptop end users; inclusion would add a desktop preference without a concrete differentiated infrastructure use case.
15,Valkey Operator,https://github.com/valkey-io/valkey-operator,https://github.com/valkey-io/valkey-operator,Valkey Operator,,https://github.com/valkey-io/valkey-operator,,ADD,valkey-operator,,kubernetes-networking-storage-addons,oss,Apache-2.0,active,false,https://github.com/valkey-io/valkey-operator;https://github.com/valkey-io/valkey-operator/blob/main/LICENSE;https://github.com/valkey-io/valkey-operator/blob/main/README.md;https://github.com/valkey-io/valkey-operator/commit/2373d03869d17f9d56e26ec759597640b605942a,"Upstream explicitly says not production-ready; experimental maturity with active status, not needs-review due to youth. Upstream commit observed 2026-09-08T11:25:15Z; archived=false."
16,Redmine,https://www.redmine.org/,https://www.redmine.org/,Redmine,https://www.redmine.org/,https://github.com/redmine/redmine,,ADD,redmine,,workflow-automation-chatops,oss,GPL-2.0-or-later,active,false,https://github.com/redmine/redmine;https://github.com/redmine/redmine/blob/master/LICENSE.txt;https://www.redmine.org/;https://github.com/redmine/redmine/blob/master/README.rdoc;https://github.com/redmine/redmine/commit/a41077d2ac875f941e74e00c987e0799849e9778,Operational adoption: You need a self-managed issue tracker for operational work and can maintain its Ruby application and database. Upstream commit observed 2026-09-08T06:24:34Z; archived=false.
17,Lightpanda,https://lightpanda.io/,https://lightpanda.io/,Lightpanda Browser,https://lightpanda.io/,https://github.com/lightpanda-io/browser,,ADD,lightpanda,,ci-build-testing,oss,AGPL-3.0-or-later,active,false,https://github.com/lightpanda-io/browser;https://github.com/lightpanda-io/browser/blob/main/LICENSE;https://lightpanda.io/;https://github.com/lightpanda-io/browser/blob/main/README.md;https://github.com/lightpanda-io/browser/blob/main/src/main.zig,Operational adoption: You run browser automation where resource consumption matters and can validate site and protocol compatibility. Upstream commit observed 2026-09-08T08:27:37Z; archived=false. Independent review: src/main.zig grants AGPL version 3 or any later version; SPDX omission corrected.
18,Varnish Cache,https://www.varnish.org/,https://www.varnish.org/,Varnish Cache,https://www.varnish.org/,https://github.com/varnish/varnish,varnish-cache,UPDATE_EXISTING,varnish-cache,,databases-caching-data-infrastructure,oss,BSD-2-Clause,active,false,https://github.com/varnish/varnish;https://github.com/varnish/varnish/blob/main/LICENSE;https://www.varnish.org/;https://github.com/varnish/varnish/blob/main/README.md;https://info.varnish-software.com/blog/varnish-cache-lts-tls-and-other-goodies;https://github.com/varnish/varnish/commit/4082b452c0bdcd303c1ca1a21b02c2af82a94cc1,"Vendor Varnish Cache retained under existing ID. Current vendor announcement links varnish/varnish; old varnishcache upstream moved to Vinyl and is not used as this product upstream. Upstream commit observed 2026-09-04T21:55:06Z; archived=false. Fields changed: avoid_when, commercial_offering, documentation_url, license_model, license_spdx, maturity, needs_review, official_url, repository_archived, repository_url, sources, status, summary, use_when, verified_on."
19,deepagents,https://github.com/langchain-ai/deepagents,https://github.com/langchain-ai/deepagents,Deep Agents,,https://github.com/langchain-ai/deepagents,,ADD,deepagents,,mlops-llmops-ai-infrastructure,oss,MIT,active,false,https://github.com/langchain-ai/deepagents;https://github.com/langchain-ai/deepagents/blob/main/LICENSE;https://github.com/langchain-ai/deepagents/blob/main/README.md;https://github.com/langchain-ai/deepagents/commit/a1a0887f7e42d0f8515ad415c9b9062e89350e8c,"Operational adoption: You are building long-running tool-using agents and need explicit state, approval, and execution-environment controls. Upstream commit observed 2026-09-08T13:55:14Z; archived=false."
20,Bitbucket Pipelines,https://www.atlassian.com/fr/software/bitbucket/features/pipelines,https://www.atlassian.com/fr/software/bitbucket/features/pipelines,Bitbucket Pipelines,https://www.atlassian.com/software/bitbucket/features/pipelines,,bitbucket-pipelines,UPDATE_EXISTING,bitbucket-pipelines,,ci-build-testing,commercial,,active,false,https://www.atlassian.com/fr/software/bitbucket/features/pipelines;https://www.atlassian.com/software/bitbucket/pricing,"Bitbucket Pipelines already has its own canonical ID, separate from Bitbucket repository hosting. Commercial Cloud CI boundary verified. Fields changed: avoid_when, commercial_offering, license_model, maturity, needs_review, sources, status, use_when, verified_on."
21,rothgar/k,https://github.com/rothgar/k,https://github.com/rothgar/k,k (rothgar),,https://github.com/rothgar/k,,ADD,rothgar-k,,kubernetes-distributions-operations,oss,MIT,active,false,https://github.com/rothgar/k;https://github.com/rothgar/k/blob/main/LICENSE;https://github.com/rothgar/k/blob/main/README.md;https://github.com/rothgar/k/commit/c06064718471abc673d87f7ea633146f13280fe6,Operational adoption: You repeatedly switch Kubernetes contexts interactively and want concise targeting while retaining kubectl behavior. Upstream commit observed 2026-06-29T21:18:38Z; archived=false.
22,Steampipe,https://steampipe.io/,https://steampipe.io/,Steampipe,https://steampipe.io/,https://github.com/turbot/steampipe,,ADD,steampipe,,cloud-platforms-management,oss,AGPL-3.0-only,active,false,https://github.com/turbot/steampipe;https://github.com/turbot/steampipe/blob/develop/LICENSE;https://steampipe.io/;https://github.com/turbot/steampipe/blob/develop/README.md;https://turbot.com/open-source,"Independent review: canonical identity is the usable AGPL source project, with documented source-build instructions. OSS describes that distribution only. Turbot-built binaries, trademarks and hosted services retain separate commercial terms; not an open-core claim. LICENSE and README specify AGPL 3.0 without an additional later-version grant."
23,agent-skills site,https://skills.addy.ie/,https://skills.addy.ie/,Addy Osmani Agent Skills,https://skills.addy.ie/,https://github.com/addyosmani/agent-skills,agent-skills,UPDATE_EXISTING,agent-skills,,developer-experience-local-environments,oss,MIT,active,false,https://github.com/addyosmani/agent-skills;https://github.com/addyosmani/agent-skills/blob/main/LICENSE;https://skills.addy.ie/;https://github.com/addyosmani/agent-skills/blob/main/README.md;https://github.com/addyosmani/agent-skills/commit/6ca0cd7db39b41b1c37e26d335c507ee92382c6d,"Site and repository are one existing identity. Reclassified from AI infrastructure to developer experience because these are engineering instructions rather than a model-serving platform. Upstream commit observed 2026-09-08T07:21:56Z; archived=false. Fields changed: avoid_when, categories, documentation_url, license_spdx, lifecycle_stages, maturity, name, needs_review, official_url, repository_archived, roles, sources, status, subcategories, summary, use_when, verified_on."
24,addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,Addy Osmani Agent Skills,https://skills.addy.ie/,https://github.com/addyosmani/agent-skills,agent-skills,SKIP_DUPLICATE,agent-skills,23,developer-experience-local-environments,oss,MIT,active,false,https://github.com/addyosmani/agent-skills;https://github.com/addyosmani/agent-skills/blob/main/LICENSE;https://skills.addy.ie/;https://github.com/addyosmani/agent-skills/blob/main/README.md,"Same semantic identity as occurrence 23; site/repository, locale, or tracking variant. Site and repository are one existing identity. Reclassified from AI infrastructure to developer experience because these are engineering instructions rather than a model-serving platform."
25,Superpowers,https://github.com/obra/superpowers,https://github.com/obra/superpowers,Superpowers,,https://github.com/obra/superpowers,,ADD,superpowers,,developer-experience-local-environments,oss,MIT,active,false,https://github.com/obra/superpowers;https://github.com/obra/superpowers/blob/main/LICENSE;https://github.com/obra/superpowers/blob/main/README.md;https://github.com/obra/superpowers/commit/b36e0829c6d0140e93cfef2ca599b1b07d4a7797,Operational adoption: You want a versioned engineering workflow for supported coding agents and will review the installed instructions. Upstream commit observed 2026-08-12T16:53:21Z; archived=false.
26,Anthropic Agent Skills,https://github.com/anthropics/skills,https://github.com/anthropics/skills,Anthropic Skills examples,,https://github.com/anthropics/skills,,ADD,anthropic-skills,,documentation-learning-career,documentation,,active,false,https://github.com/anthropics/skills;https://github.com/anthropics/skills/blob/main/README.md;https://github.com/anthropics/skills/commit/41bbe19d1a1a7eaab5e7bb9050a417e5c6cffc8f,Mixed collection: Apache-licensed examples and separately source-available document skills. Classified as reference documentation; no whole-repository SPDX claim. Upstream commit observed 2026-09-03T16:37:13Z; archived=false.
27,AI Skills for Real Engineers,https://www.aihero.dev/skills,https://www.aihero.dev/skills,Matt Pocock Skills,https://www.aihero.dev/skills,https://github.com/mattpocock/skills,,ADD,matt-pocock-skills,,developer-experience-local-environments,oss,MIT,active,false,https://github.com/mattpocock/skills;https://github.com/mattpocock/skills/blob/main/LICENSE;https://www.aihero.dev/skills;https://github.com/mattpocock/skills/blob/main/README.md;https://github.com/mattpocock/skills/commit/3cca18b368ae95cdbdebbff572ccafa662551015,"Operational adoption: You maintain engineering workflows for AI coding tools and want inspectable, versioned process instructions. Upstream commit observed 2026-09-04T08:43:27Z; archived=false."
28,polykube,https://github.com/Kismet-Engineering/polykube,https://github.com/Kismet-Engineering/polykube,Polykube,,https://github.com/Kismet-Engineering/polykube,,ADD,polykube,,kubernetes-distributions-operations,oss,Apache-2.0,active,false,https://github.com/Kismet-Engineering/polykube;https://github.com/Kismet-Engineering/polykube/blob/main/LICENSE;https://github.com/Kismet-Engineering/polykube/blob/main/README.md;https://github.com/Kismet-Engineering/polykube/commit/43f429e1db1060d9c95be846ad755329af0ff5cf,"Operational adoption: You can evaluate multi-cluster workload patterns using Flux, Cilium, and the documented networking prerequisites. Upstream commit observed 2026-07-17T16:00:04Z; archived=false."
29,Kubernetes Contributors,https://www.kubernetes.dev/,https://www.kubernetes.dev/,Kubernetes Contributors,https://www.kubernetes.dev/,,,ADD,kubernetes-contributors,,documentation-learning-career,documentation,,active,false,https://www.kubernetes.dev/,"Operational adoption: You maintain Kubernetes integrations or contribute upstream and need development, review, and governance guidance."
30,vulnx,https://github.com/projectdiscovery/vulnx,https://github.com/projectdiscovery/vulnx,vulnx,,https://github.com/projectdiscovery/vulnx,,ADD,vulnx,,application-cloud-security,oss,MIT,active,false,https://github.com/projectdiscovery/vulnx;https://github.com/projectdiscovery/vulnx/blob/main/LICENSE;https://github.com/projectdiscovery/vulnx/blob/main/README.md;https://github.com/projectdiscovery/vulnx/commit/42f6f7c3d2c51610f8767e3a5c477bd1ecb7b50d,Operational adoption: You need scriptable CVE research and filtering for vulnerability triage with the service's access limits understood. Upstream commit observed 2026-08-27T14:07:18Z; archived=false.
31,ALTCHA,https://altcha.org/,https://altcha.org/,ALTCHA,https://altcha.org/,https://github.com/altcha-org/altcha,,ADD,altcha,,application-cloud-security,open-core,MIT,active,false,https://altcha.org/;https://altcha.org/pricing/;https://github.com/altcha-org/altcha;https://github.com/altcha-org/altcha/blob/main/LICENSE.txt;https://github.com/altcha-org/altcha/blob/main/README.md,"Independent review: one bot-protection adoption family, modelled open-core: usable MIT self-hosted proof-of-work core plus separately commercial Sentinel/Cloud capabilities. The official README documents challenge generation and server-side verification without a hosted account. MIT does not cover the entire commercial family; official upstream restored. A second canonical record would unnecessarily split this submission."
32,Insomnia,https://insomnia.rest/,https://insomnia.rest/,Insomnia,https://insomnia.rest/,https://github.com/Kong/insomnia,,ADD,insomnia,,developer-experience-local-environments,open-core,Apache-2.0,active,false,https://github.com/Kong/insomnia;https://github.com/Kong/insomnia/blob/develop/LICENSE;https://insomnia.rest/;https://github.com/Kong/insomnia/blob/develop/README.md;https://github.com/Kong/insomnia/commit/511cd126c4a4ec48365ef864d2bc5a2edc9dc301,"Operational adoption: You need interactive API design and testing with a choice of local, Git, or hosted collaboration storage. Upstream commit observed 2026-09-07T09:37:34Z; archived=false."
33,GoAccess,https://goaccess.io/,https://goaccess.io/,GoAccess,https://goaccess.io/,https://github.com/allinurl/goaccess,,ADD,goaccess,,monitoring-metrics-logs-tracing,oss,MIT,active,false,https://github.com/allinurl/goaccess;https://github.com/allinurl/goaccess/blob/master/COPYING;https://goaccess.io/;https://github.com/allinurl/goaccess/blob/master/README.md;https://github.com/allinurl/goaccess/commit/5e6a1e4e1976380f9819a899593c399c2a655ccf,Operational adoption: You need immediate analysis of web access logs on a server without deploying a full telemetry backend. Upstream commit observed 2026-09-03T02:38:36Z; archived=false.
34,ponytail,https://ponytail.dev/,https://ponytail.dev/,ponytail,,https://github.com/DietrichGebert/ponytail,,SKIP_OUT_OF_SCOPE,,,,,,,,https://ponytail.dev/;https://github.com/DietrichGebert/ponytail,A minimal-code preference ruleset for coding agents; narrower process advice than an independently adopted operational workflow or tool.
35,Zed,https://zed.dev/,https://zed.dev/,Zed,https://zed.dev/,https://github.com/zed-industries/zed,,ADD,zed,,developer-experience-local-environments,oss,,active,false,https://github.com/zed-industries/zed;https://github.com/zed-industries/zed/blob/main/LICENSE-APACHE;https://zed.dev/;https://github.com/zed-industries/zed/blob/main/README.md;https://github.com/zed-industries/zed/commit/e2534d2357a80795d2c372d31268748e7ee992e5,Repository has multiple component licences; no single whole-product SPDX is asserted. Hosted services remain separate commercial offerings. Upstream commit observed 2026-09-08T12:24:20Z; archived=false. Independent SPDX review: Zed repository uses GPL and Apache grants for different components; omit a single whole-product SPDX rather than assigning one component licence to the editor family.
36,Crossplane Upjet,https://github.com/crossplane/upjet,https://github.com/crossplane/upjet,Upjet,,https://github.com/crossplane/upjet,,ADD,crossplane-upjet,,infrastructure-as-code,oss,Apache-2.0,active,false,https://github.com/crossplane/upjet;https://github.com/crossplane/upjet/blob/main/LICENSE;https://github.com/crossplane/upjet/blob/main/README.md;https://github.com/crossplane/upjet/commit/ce2252d7e4c16f5972dbded57f50c99bef1a20ec,"Provider authors choose this generator/runtime to implement infrastructure controllers; direct infrastructure-engineering decision, not a generic application helper. Upstream commit observed 2026-09-04T16:23:11Z; archived=false."
37,MetaQuizz,https://metaquizz.com/,https://metaquizz.com/,MetaQuizz,,,,SKIP_OUT_OF_SCOPE,,,,,,,,https://metaquizz.com/,The submitted quiz site did not expose a verifiable operational-engineering curriculum in the reviewed page or primary-source discovery; useful established identity was not demonstrated.
38,Gogs,https://gogs.io/getting-started/introduction,https://gogs.io/getting-started/introduction,Gogs,https://gogs.io/,https://github.com/gogs/gogs,,ADD,gogs,,source-control-repository-management,oss,MIT,active,false,https://github.com/gogs/gogs;https://github.com/gogs/gogs/blob/main/LICENSE;https://gogs.io/;https://github.com/gogs/gogs/blob/main/README.md;https://github.com/gogs/gogs/commit/aec2b842cdb6b601ef2ed27d20fa78a37ca4a0ea,"Operational adoption: You need a small self-managed Git forge and can maintain its database, backups, and authentication configuration. Upstream commit observed 2026-08-26T02:51:50Z; archived=false."
39,Ansible Molecule,https://docs.ansible.com/projects/molecule/,https://docs.ansible.com/projects/molecule/,Ansible Molecule,https://docs.ansible.com/projects/molecule/,https://github.com/ansible/molecule,,ADD,ansible-molecule,,ci-build-testing,oss,MIT,active,false,https://github.com/ansible/molecule;https://github.com/ansible/molecule/blob/main/LICENSE;https://docs.ansible.com/projects/molecule/;https://github.com/ansible/molecule/commit/a7b6aecc601c0e2c25f74d62f5403dbd2378dae1,"Operational adoption: You need repeatable provisioning, convergence, and verification tests for Ansible changes in CI. Upstream commit observed 2026-09-08T12:12:13Z; archived=false."
40,OWASP DockSec,https://owasp.org/DockSec/,https://owasp.org/DockSec/,OWASP DockSec,https://owasp.org/DockSec/,https://github.com/OWASP/DockSec,,ADD,owasp-docksec,,application-cloud-security,oss,MIT,active,false,https://github.com/OWASP/DockSec;https://github.com/OWASP/DockSec/blob/main/LICENSE;https://owasp.org/DockSec/;https://github.com/OWASP/DockSec/blob/main/README.md;https://github.com/OWASP/DockSec/commit/568e0029c709ef15bfd4aed5e00fd4e128c714f4,Operational adoption: You want to evaluate contextual Dockerfile findings and can review model output against underlying scanner evidence. Upstream commit observed 2026-09-08T00:51:42Z; archived=false.
41,Antrea,https://antrea.io/,https://antrea.io/,Antrea,https://antrea.io/,https://github.com/antrea-io/antrea,,ADD,antrea,,kubernetes-networking-storage-addons,oss,Apache-2.0,active,false,https://github.com/antrea-io/antrea;https://github.com/antrea-io/antrea/blob/main/LICENSE;https://antrea.io/;https://github.com/antrea-io/antrea/blob/main/README.md;https://github.com/antrea-io/antrea/commit/5110fe29c9ff374b321a4e9e6fd9d4f7691160b6,Operational adoption: You need a Kubernetes network stack with OVS-based policy enforcement and operational diagnostics. Upstream commit observed 2026-09-07T06:31:54Z; archived=false.
42,ContainerYard,https://github.com/mcmah309/containeryard,https://github.com/mcmah309/containeryard,ContainerYard,,https://github.com/mcmah309/containeryard,,ADD,containeryard,,containers-image-tooling,oss,Apache-2.0,active,false,https://github.com/mcmah309/containeryard;https://github.com/mcmah309/containeryard/blob/master/LICENSE;https://github.com/mcmah309/containeryard/blob/master/README.md;https://github.com/mcmah309/containeryard/commit/f7238d05541eedb8add58645a4c4124b27da7ecd,Operational adoption: You maintain repeated container build definitions and want versioned composition with pinned remote modules. Upstream commit observed 2026-07-28T08:40:22Z; archived=false.
43,AlmaLinux French,https://almalinux.org/fr/,https://almalinux.org/fr/,AlmaLinux OS,https://almalinux.org/,,,SKIP_DUPLICATE,almalinux,8,foundations-linux-scripting,oss,,active,false,https://almalinux.org/;https://wiki.almalinux.org/,"Same semantic identity as occurrence 8; site/repository, locale, or tracking variant. Enterprise server/cloud distribution; packages have multiple licences, so no whole-distribution SPDX is asserted."
44,Oracle Linux,https://www.oracle.com/fr/linux/,https://www.oracle.com/fr/linux/,Oracle Linux,https://www.oracle.com/linux/,,,ADD,oracle-linux,,foundations-linux-scripting,oss,,active,false,https://www.oracle.com/linux/,Enterprise server and cloud OS with optional paid Oracle support; individual package licences are not collapsed into a whole-distribution SPDX. Operational adoption: You operate Oracle-oriented server workloads and need an enterprise Linux distribution with vendor support options. Independent SPDX review: whole operating-system distribution contains packages under multiple licences; no single whole-product SPDX is asserted.
45,Ubuntu-fr,https://www.ubuntu-fr.org/,https://www.ubuntu-fr.org/,Ubuntu-fr community documentation,https://www.ubuntu-fr.org/,,,ADD,ubuntu-fr,,documentation-learning-career,documentation,,active,false,https://www.ubuntu-fr.org/;https://doc.ubuntu-fr.org/,"Ubuntu-fr is community documentation, not a Canonical-owned localized Ubuntu product root. No Ubuntu OS record fabricated from this URL."
46,Debian French,https://www.debian.org/index.fr.html,https://www.debian.org/index.fr.html,Debian,https://www.debian.org/,,,ADD,debian,,foundations-linux-scripting,oss,,active,false,https://www.debian.org/;https://www.debian.org/intro/free,Operational adoption: You want stable distribution packages and can plan security maintenance and release upgrades for your hosts. Independent SPDX review: whole operating-system distribution contains packages under multiple licences; no single whole-product SPDX is asserted.
47,LLMRouter site,https://ulab-uiuc.github.io/LLMRouter/,https://ulab-uiuc.github.io/LLMRouter/,LLMRouter,https://ulab-uiuc.github.io/LLMRouter/,https://github.com/ulab-uiuc/LLMRouter,,ADD,llmrouter,,mlops-llmops-ai-infrastructure,oss,MIT,active,false,https://github.com/ulab-uiuc/LLMRouter;https://github.com/ulab-uiuc/LLMRouter/blob/main/LICENSE;https://ulab-uiuc.github.io/LLMRouter/;https://github.com/ulab-uiuc/LLMRouter/blob/main/README.md;https://github.com/ulab-uiuc/LLMRouter/commit/da3430baaea672743c3957457b0c76faba19876e,"Documentation site and repository are one router framework; deployment/evaluation infrastructure warrants AI-infrastructure classification, with conservative emerging maturity. Upstream commit observed 2026-08-15T22:23:07Z; archived=false."
48,LLMRouter repository,https://github.com/ulab-uiuc/LLMRouter,https://github.com/ulab-uiuc/LLMRouter,LLMRouter,https://ulab-uiuc.github.io/LLMRouter/,https://github.com/ulab-uiuc/LLMRouter,,SKIP_DUPLICATE,llmrouter,47,mlops-llmops-ai-infrastructure,oss,MIT,active,false,https://github.com/ulab-uiuc/LLMRouter;https://github.com/ulab-uiuc/LLMRouter/blob/main/LICENSE;https://ulab-uiuc.github.io/LLMRouter/;https://github.com/ulab-uiuc/LLMRouter/blob/main/README.md,"Same semantic identity as occurrence 47; site/repository, locale, or tracking variant. Documentation site and repository are one router framework; deployment/evaluation infrastructure warrants AI-infrastructure classification, with conservative emerging maturity."
49,GitGuardian,https://www.gitguardian.com/,https://www.gitguardian.com/,GitGuardian,https://www.gitguardian.com/,,,ADD,gitguardian,,software-supply-chain-security,commercial,,active,false,https://www.gitguardian.com/;https://www.gitguardian.com/pricing,Commercial platform; ggshield MIT licence is not assigned to the SaaS.
50,ggshield,https://github.com/gitguardian/ggshield,https://github.com/gitguardian/ggshield,ggshield,,https://github.com/GitGuardian/ggshield,,ADD,ggshield,,software-supply-chain-security,oss,MIT,active,false,https://github.com/GitGuardian/ggshield;https://github.com/GitGuardian/ggshield/blob/main/LICENSE;https://github.com/GitGuardian/ggshield/blob/main/README.md;https://github.com/GitGuardian/ggshield/commit/5b513b638a78091db822d50f18d20bcd8e8d09d0,"Separately installed CLI for local hooks and CI. MIT applies to CLI source, while scanning service access and data handling remain external dependencies. Upstream commit observed 2026-09-07T15:14:38Z; archived=false."
51,WSO2 API Platform site,https://wso2.com/api-platform/,https://wso2.com/api-platform/,WSO2 API Platform,https://wso2.com/api-platform/,https://github.com/wso2/api-platform,,ADD,wso2-api-platform,,kubernetes-networking-storage-addons,oss,Apache-2.0,active,false,https://github.com/wso2/api-platform;https://github.com/wso2/api-platform/blob/main/LICENSE;https://wso2.com/api-platform/;https://github.com/wso2/api-platform/blob/main/README.md;https://wso2.com/subscription/;https://github.com/wso2/api-platform/commit/60dd7b9e1f389c198c1b3c3c32479706b7b1e20b,One site/upstream identity. Apache source distribution and paid supported production/managed offerings distinguished; commercial_offering does not imply all hosted service terms are Apache. Upstream commit observed 2026-09-08T11:52:50Z; archived=false. Existing networking category is the closest available home; a general API/networking taxonomy gap is deferred without adding categories.
