source_file,line,source_name,source_url,canonical_id,disposition,reason
devopstools_final.md,389,ArgoCD Vault Plugin,https://argocd-vault-plugin.readthedocs.io/en/stable/,argocd-vault-plugin,kept,Canonical occurrence retained
devopstools_final.md,974,ArgoCD Vault Plugin,https://argocd-vault-plugin.readthedocs.io/en/stable/,argocd-vault-plugin,merged,Merged by normalized canonical URL; provenance preserved
3_CI-CD-Automation/README.md,142,ArgoCD Vault Plugin,https://argocd-vault-plugin.readthedocs.io/en/stable/,argocd-vault-plugin,merged,Merged by normalized canonical URL; provenance preserved
6_Security/README.md,87,ArgoCD Vault Plugin,https://argocd-vault-plugin.readthedocs.io/en/stable/,argocd-vault-plugin,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,309,Argo Workflows,https://argoproj.github.io/argo-workflows/,argo-workflows,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,6,Argo Workflows,https://argoproj.github.io/argo-workflows/,argo-workflows,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1251,Arize Phoenix,https://arize.com/docs/phoenix,arize-phoenix,kept,Canonical occurrence retained
9_AI-MLOps/README.md,64,Arize Phoenix,https://arize.com/docs/phoenix,arize-phoenix,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,367,Artifact Hub,https://artifacthub.io/,artifact-hub,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,102,Artifact Hub,https://artifacthub.io/,artifact-hub,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1125,ASP.NET Aspire,https://aspire.dev/,asp-net-aspire,kept,Canonical occurrence retained
7_Development-Collaboration/README.md,85,ASP.NET Aspire,https://aspire.dev/,asp-net-aspire,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1067,Nixite,https://aspizu.github.io/nixite/,nixite,kept,Canonical occurrence retained
7_Development-Collaboration/README.md,38,Nixite,https://aspizu.github.io/nixite/,nixite,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,166,atmos,https://atmos.tools/,atmos,kept,Canonical occurrence retained
devopstools_final.md,1143,Atmosly,https://atmosly.com/,atmosly,kept,Canonical occurrence retained
7_Development-Collaboration/README.md,97,Atmosly,https://atmosly.com/,atmosly,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1000,Auth0,https://auth0.com/,auth0,kept,Canonical occurrence retained
devopstools_final.md,150,Amazon Web Services (AWS),https://aws.amazon.com/,amazon-web-services-aws,kept,Canonical occurrence retained
2_Cloud-Infrastructure-Serverless/README.md,4,Amazon Web Services (AWS),https://aws.amazon.com/,amazon-web-services-aws,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1213,AWS Billing and Cost Management MCP Server,https://aws.amazon.com/blogs/aws-cloud-financial-management/aws-announces-billing-and-cost-management-mcp-server/,aws-billing-and-cost-management-mcp-server,kept,Canonical occurrence retained
9_AI-MLOps/README.md,42,AWS Billing and Cost Management MCP Server,https://aws.amazon.com/blogs/aws-cloud-financial-management/aws-announces-billing-and-cost-management-mcp-server/,aws-billing-and-cost-management-mcp-server,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,169,AWS CDK,https://aws.amazon.com/cdk/,aws-cdk,kept,Canonical occurrence retained
2_Cloud-Infrastructure-Serverless/README.md,34,AWS CDK,https://aws.amazon.com/cdk/,aws-cdk,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1078,AWS Cloud9,https://aws.amazon.com/cloud9/,aws-cloud9,kept,Canonical occurrence retained
7_Development-Collaboration/README.md,44,AWS Cloud9,https://aws.amazon.com/cloud9/,aws-cloud9,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,170,AWS CloudFormation,https://aws.amazon.com/cloudformation/,aws-cloudformation,kept,Canonical occurrence retained
2_Cloud-Infrastructure-Serverless/README.md,36,AWS CloudFormation,https://aws.amazon.com/cloudformation/,aws-cloudformation,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,695,Amazon CloudWatch,https://aws.amazon.com/cloudwatch/,amazon-cloudwatch,kept,Canonical occurrence retained
5_Monitoring-Observability/README.md,4,Amazon CloudWatch,https://aws.amazon.com/cloudwatch/,amazon-cloudwatch,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,659,ECS,https://aws.amazon.com/ecs/,ecs,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,157,ECS,https://aws.amazon.com/ecs/,ecs,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,660,EKS,https://aws.amazon.com/eks/,eks,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,158,EKS,https://aws.amazon.com/eks/,eks,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,661,Fargate,https://aws.amazon.com/fargate/,fargate,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,159,Fargate,https://aws.amazon.com/fargate/,fargate,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1160,AWS Fault Injection Service,https://aws.amazon.com/fis/,aws-fault-injection-service,kept,Canonical occurrence retained
8_Chaos-Engineering/README.md,4,AWS Fault Injection Service,https://aws.amazon.com/fis/,aws-fault-injection-service,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,298,AWS Storage Gateway,https://aws.amazon.com/fr/storagegateway/,aws-storage-gateway,kept,Canonical occurrence retained
2_Cloud-Infrastructure-Serverless/README.md,226,AWS Storage Gateway,https://aws.amazon.com/fr/storagegateway/,aws-storage-gateway,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,208,AWS Lambda,https://aws.amazon.com/lambda/,aws-lambda,kept,Canonical occurrence retained
2_Cloud-Infrastructure-Serverless/README.md,94,AWS Lambda,https://aws.amazon.com/lambda/,aws-lambda,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1197,Amazon Q Developer,https://aws.amazon.com/q/developer/,amazon-q-developer,kept,Canonical occurrence retained
9_AI-MLOps/README.md,20,Amazon Q Developer,https://aws.amazon.com/q/developer/,amazon-q-developer,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,975,AWS Secrets Manager,https://aws.amazon.com/secrets-manager/,aws-secrets-manager,kept,Canonical occurrence retained
6_Security/README.md,88,AWS Secrets Manager,https://aws.amazon.com/secrets-manager/,aws-secrets-manager,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1214,AWS MCP,https://awslabs.github.io/mcp/,aws-mcp,kept,Canonical occurrence retained
9_AI-MLOps/README.md,44,AWS MCP,https://awslabs.github.io/mcp/,aws-mcp,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,167,Azure Verified Modules (AVM),https://azure.github.io/Azure-Verified-Modules/,azure-verified-modules-avm,kept,Canonical occurrence retained
devopstools_final.md,533,Azure Service Operator,https://azure.github.io/azure-service-operator/,azure-service-operator,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,72,Azure Service Operator,https://azure.github.io/azure-service-operator/,azure-service-operator,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,159,Microsoft Azure,https://azure.microsoft.com/,microsoft-azure,kept,Canonical occurrence retained
2_Cloud-Infrastructure-Serverless/README.md,22,Microsoft Azure,https://azure.microsoft.com/,microsoft-azure,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1161,Azure Chaos Studio,https://azure.microsoft.com/en-us/products/chaos-studio/,azure-chaos-studio,kept,Canonical occurrence retained
8_Chaos-Engineering/README.md,6,Azure Chaos Studio,https://azure.microsoft.com/en-us/products/chaos-studio/,azure-chaos-studio,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,209,Azure Container Apps,https://azure.microsoft.com/en-us/products/container-apps/,azure-container-apps,kept,Canonical occurrence retained
2_Cloud-Infrastructure-Serverless/README.md,96,Azure Container Apps,https://azure.microsoft.com/en-us/products/container-apps/,azure-container-apps,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,210,Azure Functions,https://azure.microsoft.com/en-us/products/functions/,azure-functions,kept,Canonical occurrence retained
2_Cloud-Infrastructure-Serverless/README.md,98,Azure Functions,https://azure.microsoft.com/en-us/products/functions/,azure-functions,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,656,AKS,https://azure.microsoft.com/en-us/products/kubernetes-service/,aks,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,155,AKS,https://azure.microsoft.com/en-us/products/kubernetes-service/,aks,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1056,Azure Storage Explorer,https://azure.microsoft.com/en-us/products/storage/storage-explorer/,azure-storage-explorer,kept,Canonical occurrence retained
7_Development-Collaboration/README.md,32,Azure Storage Explorer,https://azure.microsoft.com/en-us/products/storage/storage-explorer/,azure-storage-explorer,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,310,Azure DevOps,https://azure.microsoft.com/en-us/services/devops/,azure-devops,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,8,Azure DevOps,https://azure.microsoft.com/en-us/services/devops/,azure-devops,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1144,Backstage,https://backstage.io/,backstage,kept,Canonical occurrence retained
7_Development-Collaboration/README.md,98,Backstage,https://backstage.io/,backstage,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,347,Bazel,https://bazel.build/,bazel,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,72,Bazel,https://bazel.build/,bazel,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,697,Beszel,https://beszel.dev/,beszel,kept,Canonical occurrence retained
devopstools_final.md,82,Bitbucket,https://bitbucket.org/,bitbucket,kept,Canonical occurrence retained
1_Foundational-Skills/README.md,4,Bitbucket,https://bitbucket.org/,bitbucket,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1198,Bito,https://bito.ai/,bito,kept,Canonical occurrence retained
9_AI-MLOps/README.md,22,Bito,https://bito.ai/,bito,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,313,Bitrise,https://bitrise.io/,bitrise,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,14,Bitrise,https://bitrise.io/,bitrise,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1110,Black,https://black.readthedocs.io/,black,kept,Canonical occurrence retained
7_Development-Collaboration/README.md,71,Black,https://black.readthedocs.io/,black,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,437,kubebuilder Book,https://book.kubebuilder.io/,kubebuilder-book,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,8,kubebuilder Book,https://book.kubebuilder.io/,kubebuilder-book,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,878,LOTP (Living Off the Pipeline),https://boostsecurityio.github.io/lotp/,lotp-living-off-the-pipeline,kept,Canonical occurrence retained
devopstools_final.md,450,BotKube,https://botkube.io/,botkube,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,20,BotKube,https://botkube.io/,botkube,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,230,Bottlerocket,https://bottlerocket.dev/,bottlerocket,kept,Canonical occurrence retained
2_Cloud-Infrastructure-Serverless/README.md,132,Bottlerocket,https://bottlerocket.dev/,bottlerocket,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1007,HashiCorp Boundary,https://boundaryproject.io/,hashicorp-boundary,kept,Canonical occurrence retained
6_Security/README.md,114,HashiCorp Boundary,https://boundaryproject.io/,hashicorp-boundary,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,842,BridgeCrew,https://bridgecrew.io/,bridgecrew,kept,Canonical occurrence retained
6_Security/README.md,8,BridgeCrew,https://bridgecrew.io/,bridgecrew,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,314,Buddy,https://buddy.works/,buddy,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,16,Buddy,https://buddy.works/,buddy,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,348,Buildah,https://buildah.io/,buildah,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,74,Buildah,https://buildah.io/,buildah,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,315,Buildkite,https://buildkite.com/,buildkite,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,18,Buildkite,https://buildkite.com/,buildkite,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1279,ByteByteGo DevOps Guide,https://bytebytego.com/guides/devops-cicd/,bytebytego-devops-guide,kept,Canonical occurrence retained
10_Miscellaneous/README.md,26,ByteByteGo DevOps Guide,https://bytebytego.com/guides/devops-cicd/,bytebytego-devops-guide,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1131,Caddy,https://caddyserver.com/,caddy,kept,Canonical occurrence retained
devopstools_final.md,316,Cadence CI,https://cadence.ci/,cadence-ci,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,20,Cadence CI,https://cadence.ci/,cadence-ci,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1153,Cal.com,https://cal.com/,cal-com,kept,Canonical occurrence retained
devopstools_final.md,671,Rūsternetes,https://calfonso.github.io/rusternetes/,r-sternetes,kept,Canonical occurrence retained
devopstools_final.md,402,Camunda,https://camunda.com/,camunda,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,162,Camunda,https://camunda.com/,camunda,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,199,Juju,https://canonical.com/juju,juju,kept,Canonical occurrence retained
2_Cloud-Infrastructure-Serverless/README.md,78,Juju,https://canonical.com/juju,juju,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,535,Capsule,https://capsule.clastix.io/,capsule,kept,Canonical occurrence retained
devopstools_final.md,930,Capsule,https://clastix.io/capsule/,capsule,merged,Merged by normalized canonical URL; provenance preserved
4_Kubernetes-Containers/README.md,74,Capsule,https://capsule.clastix.io/,capsule,merged,Merged by normalized canonical URL; provenance preserved
6_Security/README.md,62,Capsule,https://clastix.io/capsule/,capsule,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,536,Carvel,https://carvel.dev/,carvel,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,75,Carvel,https://carvel.dev/,carvel,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,451,Carvel kapp,https://carvel.dev/kapp/,carvel-kapp,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,21,Carvel kapp,https://carvel.dev/kapp/,carvel-kapp,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,537,Carvel ytt,https://carvel.dev/ytt/,carvel-ytt,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,76,Carvel ytt,https://carvel.dev/ytt/,carvel-ytt,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,452,CasaVue,https://casavue.app/,casavue,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,22,CasaVue,https://casavue.app/,casavue,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,788,Cast AI,https://cast.ai/,cast-ai,kept,Canonical occurrence retained
devopstools_final.md,412,CC Switch,https://ccswitch.io/en/,cc-switch,kept,Canonical occurrence retained
devopstools_final.md,172,cdk8s,https://cdk8s.io/,cdk8s,kept,Canonical occurrence retained
devopstools_final.md,675,Ceph,https://ceph.io/en/,ceph,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,171,Ceph,https://ceph.io/en/,ceph,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,538,cert-manager,https://cert-manager.io/,cert-manager,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,77,cert-manager,https://cert-manager.io/,cert-manager,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,195,CFEngine,https://cfengine.com/,cfengine,kept,Canonical occurrence retained
2_Cloud-Infrastructure-Serverless/README.md,70,CFEngine,https://cfengine.com/,cfengine,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1163,Chaos Mesh,https://chaos-mesh.org/,chaos-mesh,kept,Canonical occurrence retained
8_Chaos-Engineering/README.md,10,Chaos Mesh,https://chaos-mesh.org/,chaos-mesh,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1162,ChaosBlade,https://chaosblade.io/en/,chaosblade,kept,Canonical occurrence retained
8_Chaos-Engineering/README.md,8,ChaosBlade,https://chaosblade.io/en/,chaosblade,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1164,Chaos Toolkit,https://chaostoolkit.org/,chaos-toolkit,kept,Canonical occurrence retained
8_Chaos-Engineering/README.md,12,Chaos Toolkit,https://chaostoolkit.org/,chaos-toolkit,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1292,Reference (cheatsheets.zip),https://cheatsheets.zip/,reference-cheatsheets-zip,kept,Canonical occurrence retained
devopstools_final.md,848,Checkmarx,https://checkmarx.com/,checkmarx,kept,Canonical occurrence retained
6_Security/README.md,14,Checkmarx,https://checkmarx.com/,checkmarx,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,700,checkmk,https://checkmk.com/,checkmk,kept,Canonical occurrence retained
5_Monitoring-Observability/README.md,8,checkmk,https://checkmk.com/,checkmk,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,539,Chisel Operator,https://chisel.fyralabs.com/,chisel-operator,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,78,Chisel Operator,https://chisel.fyralabs.com/,chisel-operator,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,566,Helmper,https://christoffernissen.github.io/helmper/,helmper,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,94,Helmper,https://christoffernissen.github.io/helmper/,helmper,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,542,Cilium,https://cilium.io/,cilium,kept,Canonical occurrence retained
devopstools_final.md,932,Cilium,https://cilium.io/,cilium,merged,Merged by normalized canonical URL; provenance preserved
4_Kubernetes-Containers/README.md,79,Cilium,https://cilium.io/,cilium,merged,Merged by normalized canonical URL; provenance preserved
6_Security/README.md,64,Cilium,https://cilium.io/,cilium,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,317,CircleCI,https://circleci.com/,circleci,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,22,CircleCI,https://circleci.com/,circleci,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,879,Lynis,https://cisofy.com/lynis/,lynis,kept,Canonical occurrence retained
6_Security/README.md,33,Lynis,https://cisofy.com/lynis/,lynis,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,280,ClickHouse,https://clickhouse.com/,clickhouse,kept,Canonical occurrence retained
devopstools_final.md,741,ClickHouse (Observability),https://clickhouse.com/use-cases/observability,clickhouse,merged,Merged by normalized canonical URL; provenance preserved
2_Cloud-Infrastructure-Serverless/README.md,204,ClickHouse,https://clickhouse.com/,clickhouse,merged,Merged by normalized canonical URL; provenance preserved
5_Monitoring-Observability/README.md,38,ClickHouse (Observability),https://clickhouse.com/use-cases/observability,clickhouse,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,155,Google Cloud Platform,https://cloud.google.com/,google-cloud-platform,kept,Canonical occurrence retained
2_Cloud-Infrastructure-Serverless/README.md,14,Google Cloud Platform,https://cloud.google.com/,google-cloud-platform,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,371,Google Artifact Registry,https://cloud.google.com/artifact-registry,google-artifact-registry,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,110,Google Artifact Registry,https://cloud.google.com/artifact-registry,google-artifact-registry,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,327,Google Cloud Build,https://cloud.google.com/build,google-cloud-build,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,40,Google Cloud Build,https://cloud.google.com/build,google-cloud-build,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,212,Google Cloud Functions,https://cloud.google.com/functions,google-cloud-functions,kept,Canonical occurrence retained
2_Cloud-Infrastructure-Serverless/README.md,102,Google Cloud Functions,https://cloud.google.com/functions,google-cloud-functions,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,662,GKE,https://cloud.google.com/kubernetes-engine,gke,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,160,GKE,https://cloud.google.com/kubernetes-engine,gke,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,213,Google Cloud Run,https://cloud.google.com/run,google-cloud-run,kept,Canonical occurrence retained
2_Cloud-Infrastructure-Serverless/README.md,104,Google Cloud Run,https://cloud.google.com/run,google-cloud-run,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,684,CloudCasa,https://cloudcasa.io/,cloudcasa,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,180,CloudCasa,https://cloudcasa.io/,cloudcasa,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,174,CloudCustodian,https://cloudcustodian.io/,cloudcustodian,kept,Canonical occurrence retained
2_Cloud-Infrastructure-Serverless/README.md,42,CloudCustodian,https://cloudcustodian.io/,cloudcustodian,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,541,CloudNativePG,https://cloudnative-pg.io/,cloudnativepg,kept,Canonical occurrence retained
devopstools_final.md,368,Cloudsmith,https://cloudsmith.com/,cloudsmith,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,104,Cloudsmith,https://cloudsmith.com/,cloudsmith,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,151,Apache CloudStack,https://cloudstack.apache.org/,apache-cloudstack,kept,Canonical occurrence retained
2_Cloud-Infrastructure-Serverless/README.md,6,Apache CloudStack,https://cloudstack.apache.org/,apache-cloudstack,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,454,Cluster API Provider AWS,https://cluster-api-aws.sigs.k8s.io/,cluster-api-provider-aws,kept,Canonical occurrence retained
devopstools_final.md,453,Cluster API,https://cluster-api.sigs.k8s.io/,cluster-api,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,23,Cluster API,https://cluster-api.sigs.k8s.io/,cluster-api,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1310,cmd.ms,https://cmd.ms/,cmd-ms,kept,Canonical occurrence retained
devopstools_final.md,1082,VSCode,https://code.visualstudio.com/,vscode,kept,Canonical occurrence retained
7_Development-Collaboration/README.md,48,VSCode,https://code.visualstudio.com/,vscode,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,319,Codefresh,https://codefresh.io/,codefresh,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,26,Codefresh,https://codefresh.io/,codefresh,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1311,Code Newsletter AI,https://codenewsletter.ai/,code-newsletter-ai,kept,Canonical occurrence retained
10_Miscellaneous/README.md,62,Code Newsletter AI,https://codenewsletter.ai/,code-newsletter-ai,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1057,Coder,https://coder.com/,coder,kept,Canonical occurrence retained
